"Date","Year","Quarter","FY","QFY","Month","PCTOT_EX_GDP","PCTOT_EX","PCTOT_IM_GDP","PCTOT_IM","PCTOT_NEX_GDP","PCTOT_NEX"
1998-04-01,1998,"Q2","1997/98","Q4","April",101.18440246582,111.525581359863,96.2179641723633,39.5304794311523,105.152442932129,197.039184570313
1998-05-01,1998,"Q2","1997/98","Q4","May",101.102386474609,109.906242370605,96.238166809082,39.922290802002,105.045822143555,194.474639892578
1998-06-01,1998,"Q2","1997/98","Q4","June",100.773864746094,104.207626342773,96.1135025024414,37.3868675231934,104.845878601074,189.748138427734
1998-07-01,1998,"Q3","1998/99","Q1","July",100.412155151367,98.1059036254883,96.1164703369141,37.4430847167969,104.472587585449,181.206176757813
1998-08-01,1998,"Q3","1998/99","Q1","August",100.520874023438,99.8603363037109,96.047737121582,36.0843811035156,104.658432006836,185.413284301758
1998-09-01,1998,"Q3","1998/99","Q1","September",100.395347595215,97.7655792236328,96.0890731811523,36.6874046325684,104.485122680664,181.48713684082
1998-10-01,1998,"Q4","1998/99","Q2","October",100.367614746094,97.2914276123047,96.109504699707,37.197940826416,104.433822631836,180.339706420898
1998-11-01,1998,"Q4","1998/99","Q2","November",100.435493469238,98.3192901611328,96.0669174194336,36.5561141967773,104.548362731934,182.910705566406
1998-12-01,1998,"Q4","1998/99","Q2","December",100.544219970703,100.112442016602,95.9598617553711,34.6886863708496,104.775268554688,188.104278564453
1999-01-01,1999,"Q1","1998/99","Q3","January",100.500709533691,99.4127960205078,96.0393600463867,35.7834701538086,104.64574432373,185.094863891602
1999-02-01,1999,"Q1","1998/99","Q3","February",100.239013671875,94.7291870117188,95.8546142578125,33.0283012390137,104.57787322998,183.535659790039
1999-03-01,1999,"Q1","1998/99","Q3","March",100.074310302734,91.9281845092773,95.9702224731445,34.4323806762695,104.286361694336,176.975814819336
1999-04-01,1999,"Q2","1998/99","Q4","April",99.9486923217773,89.811279296875,96.113410949707,36.3926239013672,104.00496673584,170.849731445313
1999-05-01,1999,"Q2","1998/99","Q4","May",100.000068664551,90.6457595825195,96.1167984008789,36.4043045043945,104.054176330566,171.90657043457
1999-06-01,1999,"Q2","1998/99","Q4","June",99.8082275390625,87.4545440673828,96.0829086303711,35.8110313415527,103.893867492676,168.485336303711
1999-07-01,1999,"Q3","1999/00","Q1","July",99.3969345092773,81.0225982666016,96.0969619750977,35.7712936401367,103.458808898926,159.514633178711
1999-08-01,1999,"Q3","1999/00","Q1","August",99.3762741088867,80.7310028076172,96.234245300293,37.8982887268066,103.291030883789,156.174453735352
1999-09-01,1999,"Q3","1999/00","Q1","September",99.17529296875,77.806396484375,96.4051895141602,40.6138763427734,102.903984069824,148.714004516602
1999-10-01,1999,"Q4","1999/00","Q2","October",99.3228454589844,80.1453247070313,96.3114013671875,39.0124702453613,103.156753540039,153.5478515625
1999-11-01,1999,"Q4","1999/00","Q2","November",99.7429122924805,86.6756057739258,96.3968734741211,40.333911895752,103.497360229492,160.291275024414
1999-12-01,1999,"Q4","1999/00","Q2","December",100.000854492188,90.850212097168,96.410888671875,40.5501937866211,103.746849060059,165.402877807617
2000-01-01,2000,"Q1","1999/00","Q3","January",99.5601348876953,82.6324234008789,96.4321975708008,40.9398994445801,103.269317626953,155.01318359375
2000-02-01,2000,"Q1","1999/00","Q3","February",99.3565826416016,79.122688293457,96.4729461669922,41.4754943847656,103.016983032227,149.771072387695
2000-03-01,2000,"Q1","1999/00","Q3","March",99.2315444946289,76.9888458251953,96.4641647338867,41.3181915283203,102.897285461426,147.342468261719
2000-04-01,2000,"Q2","1999/00","Q4","April",99.0867080688477,74.6095657348633,96.3703918457031,40.0163688659668,102.845695495605,146.307098388672
2000-05-01,2000,"Q2","1999/00","Q4","May",99.017204284668,73.4949111938477,96.5072021484375,42.0039558410645,102.630653381348,142.063674926758
2000-06-01,2000,"Q2","1999/00","Q4","June",98.8809967041016,71.3231582641602,96.6176071166992,43.6743583679199,102.374305725098,137.154434204102
2000-07-01,2000,"Q3","2000/01","Q1","July",98.8326721191406,70.5362701416016,96.5551376342773,42.5599517822266,102.389953613281,137.449447631836
2000-08-01,2000,"Q3","2000/01","Q1","August",98.5594482421875,66.4529876708984,96.6264419555664,43.6908493041992,102.033721923828,130.875686645508
2000-09-01,2000,"Q3","2000/01","Q1","September",98.4492874145508,64.8826599121094,96.6968994140625,44.8512916564941,101.846626281738,127.541168212891
2000-10-01,2000,"Q4","2000/01","Q2","October",98.3293914794922,63.2142219543457,96.6657867431641,44.3019866943359,101.75560760498,125.947578430176
2000-11-01,2000,"Q4","2000/01","Q2","November",98.0893478393555,59.9878425598145,96.685676574707,44.6350364685059,101.487953186035,121.368186950684
2000-12-01,2000,"Q4","2000/01","Q2","December",97.9021453857422,57.5969276428223,96.4587326049805,41.1713104248047,101.530120849609,122.07933807373
2001-01-01,2001,"Q1","2000/01","Q3","January",97.9746704101563,58.4785461425781,96.4972763061523,41.7037315368652,101.565551757813,122.631408691406
2001-02-01,2001,"Q1","2000/01","Q3","February",97.9540100097656,58.1902160644531,96.5470123291016,42.3982772827148,101.492630004883,121.497535705566
2001-03-01,2001,"Q1","2000/01","Q3","March",97.903076171875,57.5332794189453,96.4388580322266,40.8989639282227,101.553298950195,122.440330505371
2001-04-01,2001,"Q2","2000/01","Q4","April",97.7630004882813,55.8032035827637,96.4391174316406,40.8954925537109,101.407691955566,120.18904876709
2001-05-01,2001,"Q2","2000/01","Q4","May",97.8824005126953,57.2507438659668,96.5681838989258,42.6977005004883,101.396545410156,120.018249511719
2001-06-01,2001,"Q2","2000/01","Q4","June",97.7031326293945,55.064525604248,96.564079284668,42.6431350708008,101.21435546875,117.258781433105
2001-07-01,2001,"Q3","2001/02","Q1","July",97.5120697021484,52.8417282104492,96.5185775756836,42.0218276977539,101.062240600586,114.999870300293
2001-08-01,2001,"Q3","2001/02","Q1","August",97.4696273803711,52.3589515686035,96.5868072509766,42.996150970459,100.947090148926,113.316589355469
2001-09-01,2001,"Q3","2001/02","Q1","September",97.3459548950195,50.9598159790039,96.4725799560547,41.3687324523926,100.93839263916,113.190422058105
2001-10-01,2001,"Q4","2001/02","Q2","October",97.1500778198242,48.7891006469727,96.1096801757813,36.6231231689453,101.114532470703,115.771858215332
2001-11-01,2001,"Q4","2001/02","Q2","November",97.1953430175781,49.213493347168,96.0269775390625,35.6388511657715,101.247741699219,117.759971618652
2001-12-01,2001,"Q4","2001/02","Q2","December",97.2058486938477,49.3655090332031,96.0504684448242,35.926944732666,101.233009338379,117.538650512695
2002-01-01,2002,"Q1","2001/02","Q3","January",97.2088241577148,49.4179992675781,96.1498718261719,37.115608215332,101.131439208984,115.969398498535
2002-02-01,2002,"Q1","2001/02","Q3","February",97.3018951416016,50.4946594238281,96.1538925170898,37.1596412658691,101.224098205566,117.400054931641
2002-03-01,2002,"Q1","2001/02","Q3","March",97.6578750610352,54.895393371582,96.4791946411133,41.3300247192383,101.252098083496,117.835578918457
2002-04-01,2002,"Q2","2001/02","Q4","April",97.7333374023438,55.897632598877,96.5851898193359,42.781005859375,101.21923828125,117.324569702148
2002-05-01,2002,"Q2","2001/02","Q4","May",97.6498184204102,54.8665351867676,96.6490478515625,43.685661315918,101.065971374512,114.968124389648
2002-06-01,2002,"Q2","2001/02","Q4","June",97.656364440918,54.9996070861816,96.6155395507813,43.2177658081055,101.107749938965,115.606147766113
2002-07-01,2002,"Q3","2002/03","Q1","July",97.6617050170898,55.1009635925293,96.7760467529297,45.5438842773438,100.945602416992,113.148178100586
2002-08-01,2002,"Q3","2002/03","Q1","August",97.6085205078125,54.436824798584,96.8974227905273,47.3860931396484,100.764236450195,110.456382751465
2002-09-01,2002,"Q3","2002/03","Q1","September",97.9450912475586,58.8681602478027,97.0639953613281,50.0193939208984,100.938385009766,113.039924621582
2002-10-01,2002,"Q4","2002/03","Q2","October",98.0456619262695,60.191276550293,97.0364761352539,49.5746231079102,101.070755004883,115.040908813477
2002-11-01,2002,"Q4","2002/03","Q2","November",98.2642364501953,63.2636032104492,96.8443222045898,46.5859909057617,101.497085571289,121.710861206055
2002-12-01,2002,"Q4","2002/03","Q2","December",98.2175064086914,62.6482429504395,97.0639114379883,50.0299949645996,101.219299316406,117.32544708252
2003-01-01,2003,"Q1","2002/03","Q3","January",98.3721771240234,65.3325729370117,97.2363357543945,52.7623748779297,101.199340820313,116.999908447266
2003-02-01,2003,"Q1","2002/03","Q3","February",98.3707275390625,65.3141479492188,97.3955612182617,55.4123992919922,101.032379150391,114.308547973633
2003-03-01,2003,"Q1","2002/03","Q3","March",98.2096405029297,62.5162353515625,97.1469650268555,51.3311920166016,101.12523651123,115.798187255859
2003-04-01,2003,"Q2","2002/03","Q4","April",98.19287109375,62.2342185974121,96.7590255737305,45.5349922180176,101.513031005859,122.216300964355
2003-05-01,2003,"Q2","2002/03","Q4","May",98.2423477172852,63.0721168518066,96.7982940673828,46.0903663635254,101.523147583008,122.388160705566
2003-06-01,2003,"Q2","2002/03","Q4","June",97.9728775024414,58.6376419067383,96.8781051635742,47.2419013977051,101.160636901855,116.370811462402
2003-07-01,2003,"Q3","2003/04","Q1","July",97.8940811157227,57.4182014465332,96.8981094360352,47.5371704101563,101.057884216309,114.71598815918
2003-08-01,2003,"Q3","2003/04","Q1","August",97.9356536865234,58.0639572143555,96.9926452636719,48.9445114135742,101.002288818359,113.829750061035
2003-09-01,2003,"Q3","2003/04","Q1","September",98.1450347900391,61.4504623413086,96.7720565795898,45.7176361083984,101.449203491211,121.137687683105
2003-10-01,2003,"Q4","2003/04","Q2","October",98.1995162963867,62.352954864502,96.9481353759766,48.273193359375,101.321228027344,119.001823425293
2003-11-01,2003,"Q4","2003/04","Q2","November",98.1003952026367,60.7018356323242,96.9913635253906,48.9202575683594,101.173408508301,116.578117370605
2003-12-01,2003,"Q4","2003/04","Q2","December",98.2251052856445,62.787281036377,97.0490112304688,49.7981796264648,101.241958618164,117.696380615234
2004-01-01,2004,"Q1","2003/04","Q3","January",98.3662033081055,65.2605972290039,97.1312026977539,50.9977874755859,101.301071166992,118.644081115723
2004-02-01,2004,"Q1","2003/04","Q3","February",98.3470077514648,64.9192276000977,97.1296234130859,50.967643737793,101.282707214355,118.348854064941
2004-03-01,2004,"Q1","2003/04","Q3","March",98.3536987304688,65.0447158813477,97.3034744262695,53.6111183166504,101.108772277832,115.586799621582
