"Date","Year","Quarter","FY","QFY","Month","RNNA","KPRIV_PCH","KPUBL_PCH","RNNA_PCH","KPRIV_GDP","KPRIV","PRIV_RINV_GDP","PRIV_RINV","KPUBL_GDP","KPUBL","PUBL_RINV_GDP","PUBL_RINV","RINV","RNNA_GDP","RINV_GDP"
1989-01-01,1989,"Q1","1988/89","Q3","January",41.366569519043,-3.47047066688538,21.7964153289795,4.63962697982788,196.399475097656,26.9339847564697,5.07316255569458,0.877239763736725,105.240753173828,14.4325885772705,23.5598754882813,3.16941237449646,4.04665231704712,301.640197753906,28.63303565979
1990-01-01,1990,"Q1","1989/90","Q3","January",43.2784652709961,-2.80395865440369,16.895866394043,4.51821184158325,179.847030639648,26.1892566680908,6.02418661117554,0.879547297954559,117.35514831543,17.0892124176025,21.7650089263916,3.21945261955261,4.09899997711182,297.2021484375,27.7891979217529
1991-01-01,1991,"Q1","1990/91","Q3","January",45.1648406982422,-2.77997136116028,14.1846961975098,4.26637506484985,165.788345336914,25.4712295532227,5.72483921051025,2.35341596603394,128.182723999023,19.6936130523682,20.9549255371094,1.61578845977783,3.96920466423035,293.971069335938,26.6797657012939
1992-01-01,1992,"Q1","1991/92","Q3","January",46.8676643371582,3.08114051818848,4.49684810638428,3.70090532302856,163.409957885742,26.2682495117188,14.6401681900024,2.58792543411255,128.145202636719,20.5994186401367,10.0515232086182,1.66526913642883,4.25319480895996,291.555145263672,24.6916942596436
1993-01-01,1993,"Q1","1992/93","Q3","January",48.8277130126953,3.81007599830627,4.46171569824219,4.09700632095337,158.565689086914,27.2884006500244,15.0377521514893,3.57494807243347,125.159294128418,21.5393180847168,9.67643928527832,1.94857132434845,5.52351903915405,283.724945068359,24.7141933441162
1994-01-01,1994,"Q1","1993/94","Q3","January",52.0046310424805,6.98395919799805,5.43465328216553,6.30347299575806,153.456954956055,29.2623386383057,18.7476692199707,4.92286205291748,119.264694213867,22.7422981262207,10.2186574935913,2.17312979698181,7.09599161148071,272.721618652344,28.9663257598877
1995-01-01,1995,"Q1","1994/95","Q3","January",56.6013107299805,10.4065465927124,5.92164182662964,8.46993732452393,155.667068481445,32.4716300964355,23.5999088287354,4.94146728515625,115.676292419434,24.1296882629395,10.4178552627563,1.93605351448059,6.87752056121826,271.343322753906,34.0177612304688
1996-01-01,1996,"Q1","1995/96","Q3","January",60.7658500671387,8.99268436431885,4.49408197402954,7.09958124160767,160.334625244141,35.5270233154297,22.30100440979,5.35919523239136,113.903678894043,25.2388324737549,8.73747253417969,1.88588082790375,7.24507617950439,274.23828125,31.0384750366211
1997-01-01,1997,"Q1","1996/97","Q3","January",65.1412124633789,8.9776668548584,4.031578540802,6.95294570922852,166.252029418945,38.8640747070313,22.9254684448242,5.77233123779297,112.407890319824,26.2771453857422,8.06738662719727,2.24574112892151,8.0180721282959,278.659881591797,30.9928550720215
1998-01-01,1998,"Q1","1997/98","Q3","January",70.1253662109375,8.86720752716064,5.12056922912598,7.37271738052368,166.183898925781,42.4676399230957,22.5882225036621,5.7905969619751,108.229927062988,27.6577301025391,8.78800964355469,2.69608068466187,8.48667812347412,274.413818359375,31.3762321472168
1999-01-01,1999,"Q1","1998/99","Q3","January",75.3953247070313,7.8472638130188,6.31585502624512,7.24606800079346,168.616348266602,45.9344329833984,21.2561531066895,5.96660852432251,108.145202636719,29.4608955383301,9.8967866897583,2.80216646194458,8.76877403259277,276.761535644531,31.1529407501221
