"Date","Year","Quarter","FY","QFY","Month","OUT_14","OUT_GPS_14","OUT_GPS_DBT_14","OUT_GPS_TRF_14","OUT_DEF_14","OUT_POS_14","OUT_EA_14","OUT_EA_ECL_14","OUT_EA_AGR_14","OUT_EA_EFU_14","OUT_EA_MMC_14","OUT_EA_TRA_14","OUT_EA_COM_14","OUT_EP_14","OUT_HC_14","OUT_HEA_14","OUT_HEA_OP_14","OUT_HEA_HP_14","OUT_HEA_PH_14","OUT_REC_14","OUT_EDU_14","OUT_EDU_PRI_14","OUT_EDU_SEC_14","OUT_EDU_TER_14","OUT_SOC_14"
2006-10-01,2006,"Q4","2006/07","Q2","October",367.497266903126,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-01,2006,"Q4","2006/07","Q2","November",392.470488514625,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-01,2006,"Q4","2006/07","Q2","December",252.282652142414,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,2007,"Q1","2006/07","Q3","January",314.245402391055,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-01,2007,"Q1","2006/07","Q3","February",303.044213086941,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-01,2007,"Q1","2006/07","Q3","March",265.615315525769,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,2007,"Q2","2006/07","Q4","April",421.634329573677,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,2007,"Q2","2006/07","Q4","May",365.059278275107,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,2007,"Q2","2006/07","Q4","June",480.688987261918,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,2007,"Q3","2007/08","Q1","July",187.25066402366,53.3932316640294,20.5524305367856,11.5755675650833,16.394867019,5.0100001054632,29.0355447961913,0.208107096,11.9113618527204,8.06156486624176,0.599896882675016,6.85172518840264,0.033826735,0.325133323790201,11.552268913472,15.283831508302,0,5.693649488,9.1392180421192,0.01930196,48.1906570101848,30.69834066,8.66518865087617,8.43529823784229,8.04582772322745
2007-08-01,2007,"Q3","2007/08","Q1","August",303.554748862608,60.59626301403,25.7139759647753,11.0343876650833,44.600255196,23.9788098460997,71.1875566846171,2.52295674,13.4967825445767,15.9928771108666,1.17735061368941,34.2540450457837,0.189243562,0.498060045548973,5.23899960134061,20.508193562123,0.032302909,7.005778892,10.6477735821218,0.229011598,66.7168711373261,36.964239509,14.9568691751475,9.86833060028028,10.0007281775224
2007-09-01,2007,"Q3","2007/08","Q1","September",448.071298702081,211.320911314939,25.5196588447438,11.0343876650833,25.805516007,18.2172808155611,93.1674930999004,0.866182365,12.7188483895393,51.9942137950092,1.62411325382666,21.3413874439186,0.0494061,0.781243082299378,7.69856294056656,23.4021284358266,0.178232369,8.282343683,12.6540915532592,0.02054766,54.5534486426854,31.46719889,12.6598123408384,8.24882738681172,13.1041667033028
2007-10-01,2007,"Q4","2007/08","Q2","October",411.164654455718,143.935276671384,26.626989570975,11.5332843100833,39.209902682,20.6366315453073,78.2081131734824,2.144528262,10.7872447669394,12.6082554820006,0.936158374235321,48.7782677891691,0.121081814,0.938754854562278,18.9284500839921,19.8613311236876,0.126735374,7.903027668,10.5445652120038,0.213838741,69.7822023839163,38.804604388,14.905614988795,11.6633585138963,19.4501531963854
2007-11-01,2007,"Q4","2007/08","Q2","November",323.599726489994,82.8201965665918,26.0841481146169,11.3528023480833,47.051024463,19.3797415745863,51.9520022265543,0.624441281,7.93008155042323,6.87237770414521,0.473290184865159,32.8480579729567,0.197921898,0.727574372173271,8.83670447233686,26.3908591555193,0.223296681,9.77487939866667,14.8999105120238,0.195065624,63.6803689540046,38.138762966,11.4903301487169,11.0878670931089,22.5661890812278
2007-12-01,2007,"Q4","2007/08","Q2","December",241.503679352386,67.1201662323957,25.4234085262264,11.6354586220833,28.408076783,14.5358652779414,42.3209341662955,0.513958769,9.60955565601309,15.6883035097415,1.1828686342925,11.0443889333657,0.184502176,0.844405394466191,6.72723422152612,15.5374042425624,0,4.85210765066667,9.30845406355348,0.09379798,53.081636626158,29.989064332,11.5077219848855,9.79961815080815,12.8341584280405
2008-01-01,2008,"Q1","2007/08","Q3","January",375.827378770988,88.9688065748401,33.7684265392763,11.5219536450833,45.757389087,22.8463788647492,90.3265349281548,2.673552112,17.7556882313092,32.4746535659564,1.10565813783497,33.6486239131318,0.20305913,0.867520211040434,16.706990583157,27.304780390244,0.085267675,10.087433533,15.3840027688363,0.038475323,66.9660099005121,33.270387282,18.270088842027,13.0264508750688,16.0444929082905
2008-02-01,2008,"Q1","2007/08","Q3","February",316.769084320662,77.225355737799,27.4428854423631,11.5356273260833,29.977044305,21.0110448835009,70.049210958486,3.647033829,19.8508604661024,24.7869212660138,1.83844205867377,14.9461627497208,0.106876957,1.41198133076736,9.70135194722157,24.0706010830335,0.010572041,10.502673567,1.22824235544818,0.046716171,68.0404334079129,39.659432678,12.5940257807634,11.4495506485818,15.2353444959407
2008-03-01,2008,"Q1","2007/08","Q3","March",367.718258080835,90.1665875715088,28.2730027228233,11.2764947320833,34.154213714,17.1969056344253,119.152149634596,3.351547244,31.3363109124213,67.2574340518378,2.35294266355435,11.2081161590161,0.055963766,1.45243684104637,11.1587822575459,22.4899564400744,0.242237893,5.304359887,10.9632800207001,0.035905012,55.9293448982881,31.330402466,12.301424099741,10.415531281724,15.9819760773503
2008-04-01,2008,"Q2","2007/08","Q4","April",453.009959394176,129.679928501357,28.6291145331866,24.2482798950833,40.044606826,23.3958068116587,108.689035321927,3.850787964,33.2541625012631,30.7035233195385,2.29823182294751,34.2857816536578,0.127678125,1.42387223571981,25.9725184640534,31.3385946810097,0.074083844,8.879539429,20.0072318891763,0.01927023,75.5288758103803,40.303471771,19.8412741857217,11.2395930135763,16.9174505120706
2008-05-01,2008,"Q2","2007/08","Q4","May",381.527424006003,89.6841712397038,30.7853709036085,13.4955473768334,54.508971352,26.7948392425387,84.463120822188,0.880879918,18.4127196354938,28.2718825967988,1.96031810067686,30.1422433983223,0.336670839,1.68864551638126,13.2512613648591,22.5115605905396,0.214379393,6.197310555,13.6298113199005,0.337904263,73.0669377655888,32.915273781,24.3591266665123,12.2079103133275,15.2200118492041
2008-06-01,2008,"Q2","2007/08","Q4","June",507.997549327319,137.315927820337,27.4601353314785,9.05209916433333,43.403312617,60.3977180929784,98.7481510327523,4.258599588,29.3363032982179,36.3670645593124,2.7395655854557,11.7116407984961,1.668291028,3.20338169131846,31.2150033101708,45.603837198942,0.363480031,9.294155603,28.8986186476518,0.950193714,68.0996479389256,33.35050947,17.6339047831506,12.8155691192709,19.060375910894
2008-07-01,2008,"Q3","2008/09","Q1","July",329.228008850343,128.782809781081,29.8845736960134,12.476363805995,43.49737012,16.3816326080644,50.1533661732959,0.630100484,11.8186132272344,6.68719792376284,0.828861451003586,27.6975758180055,0.844824503723477,0.458713043212164,7.18358597488527,18.9792334251273,0.014332767,7.00055946883333,11.2096705585059,0.186191961,57.7870989954108,34.534394058,9.37453895340125,10.8412166739287,5.81800676826585
2008-08-01,2008,"Q3","2008/09","Q1","August",391.025610044563,66.8388690566171,27.6932648831496,12.326850574995,29.096691112,14.7321488252078,150.32968865461,1.974263767,25.2018039571441,42.1897180981773,1.68078796163033,72.9280525759814,1.84198664465972,1.37613513568453,14.2896072271683,36.3210726800925,0.092122944,6.26693643183333,28.1425946688789,0.21885554,68.2009093713443,36.880870698,13.7495284645628,11.4585977748371,9.6216324418377
2008-09-01,2008,"Q3","2008/09","Q1","September",302.558844276293,74.6632332329298,29.6804634923506,12.180900335995,24.42800426,17.8093685604464,67.1614209626587,0.668849484,12.9145744998754,17.2475404523428,2.2214114497604,28.1330418216082,2.25120361608736,1.74168099257548,8.13591512425533,24.9764462620773,0.012817937,10.8724311218333,12.3876866452385,0.306069358,70.660151202004,32.990113936,21.5771195656583,9.33673765960002,12.6765543213455
2008-10-01,2008,"Q4","2008/09","Q2","October",437.001602114242,142.655208776538,35.3641174661405,24.616890203995,66.528643142,32.6517213928292,83.5887525804982,0.694331711,38.14267984056,13.3758114183294,1.71713521535294,24.0542486044877,1.84943199722334,1.56564514520476,8.87034567104447,28.0243189521096,0.348972382,9.66066170483333,15.7631006668393,0.09509299,62.7749478572875,34.762690693,10.6294062529302,11.5020946021957,10.2469256067304
2008-11-01,2008,"Q4","2008/09","Q2","November",399.435842859598,110.806004935414,27.1427772063934,11.895003486995,31.183198664,17.5037881749416,86.0968079385724,0.949412716,8.59326130208206,21.434829439771,0.899845787628756,48.679316493486,0.966353322825266,1.1508088016275,20.2056557805065,38.5605736834342,0.130512631,12.1173437738333,24.5065614234216,0.392071646,82.8609090524109,41.259353251,22.1302570097581,13.5773428476994,10.6760241826909
2008-12-01,2008,"Q4","2008/09","Q2","December",359.777744954083,85.1540320247545,28.5808705009382,10.997187022995,35.036619052,32.6656361516643,89.3790852954241,4.34911704,13.2932681131088,18.8444303260299,2.10317688813037,43.2999775430721,2.36031483978942,1.98034610963597,11.4760598267769,29.4640089304795,0.286848334,9.19970897883333,15.1116325409718,0.834948091,58.805946650327,30.649009743,13.1416492714102,8.23958000441611,14.981062822021
2009-01-01,2009,"Q1","2008/09","Q3","January",373.096817086839,84.7863718521009,28.9516934663307,16.447581611995,34.749271592,20.6449734089936,127.85742629104,0.758073715,30.2975526980743,27.0055977808243,0.895099413517358,64.8088337455576,1.02799097599428,0.730640882645329,9.12266671369547,24.0970608091742,0,10.0649244198333,12.9358128954154,0.210663788,61.8792544282602,35.493811135,10.2902724302839,11.7761592570746,9.0184873209295
2009-02-01,2009,"Q1","2008/09","Q3","February",378.618358154883,84.117363337879,28.1439936224969,14.819618368995,59.187547331,19.2868901792481,91.8619566103878,5.921654636,33.1464172553225,13.7926898811297,1.54374392364575,30.8092639956196,1.56768244456208,1.61997858750199,5.44554568036946,30.8342453774702,0.138271595,10.5760892278333,1.52890153758902,0.262024164,75.8621343687271,39.608664678,21.3532615587382,9.71669154116807,10.1406725182992
2009-03-01,2009,"Q1","2008/09","Q3","March",601.470862734582,145.185014736609,31.5409589382943,14.669992095995,28.160645467,28.5370781388362,254.515584491296,0.609762599,15.1244898040055,16.4965334070409,1.97957599940733,214.946237393557,2.03564996465376,1.44245506317166,13.8703429965182,52.7128376261327,0.242457304,11.8964815558333,38.910117090045,0.133407576,61.8288013357163,34.705809251,11.4225074448344,8.45257976975634,15.084695303303
2009-04-01,2009,"Q2","2008/09","Q4","April",360.343555378516,111.846369840562,35.2346025294562,14.202959006995,39.6172053,25.9399437109242,57.3060227383549,2.426110972,4.88823030612721,13.7855580844171,0.203783818410532,32.4251833669578,1.73489427091432,0.404781756692447,16.3095359117972,31.8249223146492,0.122097139,14.1807105648333,16.3766741964418,0.083024475,66.8513103780678,41.335160203,11.5546504728207,12.509016971721,10.1604389524686
