"Date","Year","Quarter","FY","QFY","Month","REV_GRA","REV","REV_URA","REV_NURA","REV_OIL","GRA","GRA_BUD","GRA_PRO","EXP_LEN","EXP_CU","EXP_CU_W","EXP_CU_I","EXP_CU_I_DOM","EXP_CU_I_EXT","EXP_CU_OTH","EXP_DEV","EXP_DEV_DOM","EXP_DEV_EXT","NLP","NLP_HPP","NLP_HPP_GOU","NLP_HPP_EXBK","NLP_BOU","PAY_ARR_DOM","BAL_DOM","BAL_PRI","BAL_FIS_NGRA","BAL_FIS","FIN","FIN_EXT","FIN_EXT_DEP","FIN_EXT_DIS","FIN_EXT_DIS_BUD","FIN_EXT_DIS_PRO","FIN_EXT_AMO","FIN_DOM","FIN_DOM_BK","FIN_DOM_NBK","EAO"
2000-08-01,2000,"Q3","2000/01","Q1","August",168.28672975543,91.997138,87.306681,4.690457,0,76.2895917554301,41.354321,34.9352707554301,165.9225185135,96.6750516666667,36.649376,10.572477,3.230283,7.342194,49.4531986666667,65.2446398468333,22.003368,43.2412718468333,-0.26952,,,,,4.272347,-23.3419146666667,12.9366882419301,-73.9253805134999,2.36421124193015,-2.36421124193015,11.2191650914032,0,17.4550010914032,0,17.4550010914032,-6.235836,-28.9474259999997,28.9028000000003,-57.850226,15.3640496666664
2000-09-01,2000,"Q3","2000/01","Q1","September",152.50645634643,81.452781591,80.648285591,0.804496,0,71.0536747554301,36.118404,34.9352707554301,173.9304575135,87.1272336666667,34.925284,20.02133,13.25798,6.76335,32.1806196666667,83.7810228468333,20.951751,62.8292718468333,-0.05591,,,,,3.078111,-22.8850540756666,-1.4026711670698,-92.4776759224999,-21.4240011670698,21.4240011670698,68.0738819914032,0,76.2359330914032,58.780932,17.4550010914032,-8.1620511,-32.8155210000002,-22.5710070000002,-10.2445139999999,-13.8343598243332
2000-10-01,2000,"Q4","2000/01","Q2","October",140.03899855543,88.627886,88.02493,0.602956,0,51.4111125554301,16.4758418,34.9352707554301,156.3295003135,86.9045894666667,34.869396,8.3085788,3.340254,4.9683248,43.7266146666667,67.5877688468333,30.863497,36.7242718468333,0.110197,,,,,1.726945,-26.0090176666667,-7.98192295806984,-67.7016143134999,-16.2905017580698,16.2905017580698,27.3185870914032,0,30.5333854914032,13.0783844,17.4550010914032,-3.2147984,8.73718600000016,25.5307000000002,-16.793514,-19.7652713333335
2000-11-01,2000,"Q4","2000/01","Q2","November",139.36349515543,87.979413,87.745858,0.233555,0,51.3840821554301,16.4488114,34.9352707554301,159.1882724135,86.0129875666667,34.72044,5.8182712,2.265772,3.5524992,45.4742763666667,69.3478758468333,30.822604,38.5252718468333,-8.146,,,,,11.973409,-29.1310883666666,-14.0065060580698,-71.2088594134999,-19.8247772580698,19.8247772580698,10.1464740914032,0,17.4550010914032,0,17.4550010914032,-7.308527,5.18366900000035,10.2302000000004,-5.04653100000001,4.4946341666663
2000-12-01,2000,"Q4","2000/01","Q2","December",333.23656031543,93.60732036,93.3739643,0.23335606,0,239.62923995543,204.6939692,34.9352707554301,204.0499445135,91.7126626666667,35.359703,4.292412,1.973641,2.318771,52.0605476666667,100.981305846833,21.400334,79.5809718468333,0.147139,,,,,11.208837,-28.5428813066667,133.47902780193,-110.4426241535,129.18661580193,-129.18661580193,27.6219175914032,0,17.4550010914032,0,17.4550010914032,10.1669165,-127.8065928,-142.6754,14.8688072,-29.001940593333
2001-01-01,2001,"Q1","2000/01","Q3","January",140.69382755543,97.484968,97.393055,0.091913,0,43.2088595554301,8.2735888,34.9352707554301,156.1647305135,77.3888296666667,35.760112,4.859662,2.02248,2.837182,36.7690556666667,68.4411468468333,25.550575,42.8905718468333,-0.09848,,,,,10.433234,-12.9520086666667,-10.6112409580698,-58.6797625134999,-15.4709029580698,15.4709029580698,21.6467074914032,0,17.4550010914032,0,17.4550010914032,4.1917064,-3.32575500000005,10.2522999999999,-13.578055,-2.85004953333329
2001-02-01,2001,"Q1","2000/01","Q3","February",125.82832565543,81.184712,80.963508,0.221204,0,44.6436136554301,9.7083429,34.9352707554301,187.6726838075,111.078415598667,36.716497,12.7382988,3.082245,9.6560538,61.6236197986667,67.5631992088333,24.124527362,43.4386718468333,-0.58178,,,,,9.612849,-53.3932461606667,-49.1060593520698,-106.4879718075,-61.8443581520698,61.8443581520698,10.5702695914032,0,17.4550010914032,0,17.4550010914032,-6.8847315,34.9743941320002,28.3122000000003,6.66219413199997,16.2996944286664
2001-03-01,2001,"Q1","2000/01","Q3","March",131.54971975543,82.987423,82.959882,0.027541,0,48.5622967554301,13.627026,34.9352707554301,195.1560425135,108.889033666667,37.521321,18.72193,11.21567,7.50626,52.6457826666667,75.2656928468333,25.616721,49.6489718468333,-8.33978,,,,,19.341096,-55.0133876666667,-44.8843927580698,-112.1686195135,-63.6063227580698,63.6063227580698,7.79156309140317,0,17.4550010914032,0,17.4550010914032,-9.663438,54.1575949999998,33.7572779999998,20.400317,1.65716466666691
2001-04-01,2001,"Q2","2000/01","Q4","April",120.44979675543,85.514526,85.345055,0.169471,0,34.9352707554301,0,34.9352707554301,155.8526247535,88.5339729066667,37.783023,6.72199124,2.695438,4.02655324,44.0289586666667,64.6584378468333,15.943966,48.7144718468333,-10.430139,,,,,13.090353,-17.5970736666666,-28.6808367580698,-70.3380987534999,-35.4028279980698,35.4028279980698,12.0980888514032,0,17.4550010914032,0,17.4550010914032,-5.35691224,30.7894020000001,44.8137320000001,-14.02433,-7.48466285333344
2001-05-01,2001,"Q2","2000/01","Q4","May",132.72874075543,97.79347,97.659004,0.134466,0,34.9352707554301,0,34.9352707554301,215.469481176833,102.92604733,36.257702,10.87155108,7.092261,3.77929008,55.79679425,90.8309768468333,36.325005,54.5059718468333,0.644848,,,,,21.067609,-59.39074925,-71.8691893414031,-117.676011176833,-82.7407404214031,82.7407404214031,82.1486034514032,0,94.1817204514032,76.72671936,17.4550010914032,-12.033117,-11.1199010000001,-22.0128100000002,10.892909,11.7120379700001
