"Date","Year","Quarter","FY","QFY","Month","EXP_IDPD_SEC","EXP_IDPD_RAW","EXP_IDPD_AGR","EXP_IDPD_EDU","EXP_IDPD_HEA","EXP_IDPD_WAE","EXP_IDPD_JLO","EXP_IDPD_ACC","EXP_IDPD_EAM","EXP_IDPD_TTI","EXP_IDPD_LHUD","EXP_IDPD_SD","EXP_IDPD_ICT","EXP_IDPD_PSM","EXP_IDPD_PAD","EXP_IDPD_PARL","EXP_IDPD_STD","EXP_IDPD_TOU","EXP_IDPD_LGOV","EXP_IDPD_I","EXP_IDPD_I_DOM","EXP_IDPD_I_EXT","EXP_IDPD_CEN_TOT","EXP_IDPD_LGP_TOT","EXP_IDPD_I_TOT","EXP_IDPD"
2009-02-01,2009,"Q1","2008/09","Q3","February",0,1.39003799210233,6.30524344853556,1.01533088665104,3.50997608411229,1.7652044181258,4.3487769261575,2.14553599809885,8.6598493100406,0.0674063564649843,0,0.619765009192595,0,9.85382779581868,0.0185544750907447,0,,,,0,0,0,39.699508700391,0,0,39.699508700391
2009-03-01,2009,"Q1","2008/09","Q3","March",6.81899079899682,2.7546856673968,22.3621352832245,0.923366831980733,3.43555047907244,1.08658291109039,0,11.8055301761589,39.6384922892599,2.55704842040724,0,0.13583122209781,0,4.45758910560731,0,0,,,,0,0,0,95.9758031852928,0,0,95.9758031852928
2009-04-01,2009,"Q2","2008/09","Q4","April",0,0.0214536860349809,0.578912174974441,0.0709603443871561,0.177849493262692,0.158189791260239,0,0.136800038820781,0.594885514289205,0.0143485398878437,0,0,0,0.207981890147646,0,0,,,,0,0,0,1.96138147306499,0,0,1.96138147306499
2009-05-01,2009,"Q2","2008/09","Q4","May",0,0.376932720527282,0.645275031440607,0.143494555950793,0.193349030667462,0,0,1.28665075445101,1.17091650972055,0.0303649057242514,0,0,0,0.3899647658983,0,0,,,,0,0,0,4.23694827438026,0,0,4.23694827438026
2009-06-01,2009,"Q2","2008/09","Q4","June",0.384107745535062,0.788426100559191,1.81741111451333,0.447692677120019,0,0.0111826000596264,0.0157242147451652,1.23202149277002,2.71824775270855,0.134780440821584,0,0.0365013765934879,0,1.65059117734495,0,0,,,,0,0,0,9.23668669277099,0,0,9.23668669277099
2009-07-01,2009,"Q3","2009/10","Q1","July",10.1714211332213,15.3461524442769,12.6058923260423,0.708069762651142,13.5842061468181,6.58577772558519,1.93426310641031,6.68972751090701,29.4758064175088,0,0,0,0.872928095224011,3.85327999167883,0,0,,,,0,0,0,101.827524660324,0,0,101.827524660324
2009-08-01,2009,"Q3","2009/10","Q1","August",0.726113695487441,7.59948233827645,8.18130768197355,1.86983225873056,2.5544250916092,0.44897122528854,0,1.47508902117365,30.0932837715581,0.0145691808544773,0,0.199521046279195,0,0,0.0788757659039585,0,,,,0,0,0,53.2414710771351,0,0,53.2414710771351
2009-09-01,2009,"Q3","2009/10","Q1","September",0,17.8483614820613,1.9041137734927,0.00732184959613396,16.7842867871244,1.2926025284349,0.498985720940908,15.418950061235,52.1206413450834,0.650965546968088,0,0,0,21.6044252615588,0,0,,,,0,0,0,128.130654356496,0,0,128.130654356496
2009-10-01,2009,"Q4","2009/10","Q2","October",2.03558281366135,5.86089317679949,3.69622698280119,1.47343207556432,6.51648690227819,0.0746343853495436,0,2.98413094608204,25.4700251972736,0.172949242615899,0,0,0,3.32780699575765,0,0,,,,0,0,0,51.6121687181833,0,0,51.6121687181833
2009-11-01,2009,"Q4","2009/10","Q2","November",0.0250279148532583,6.81209989857644,5.60114673839749,0,1.20226124055798,-0.0440241856532642,0.0834263828441944,1.87924766758599,13.3073280618933,0,0,0.00408455570405176,0,10.6078123601339,2.44419556299634,0,,,,0,0,0,41.9226061978897,0,0,41.9226061978897
2009-12-01,2009,"Q4","2009/10","Q2","December",1.72773323345841,7.69066453969763,15.837532417685,4.14644237850107,14.0664064692655,1.41124281092655,0.657968455017583,15.126818769095,16.5863702783215,0,0,0,0,0.507092631649182,0.0281974036313281,0,,,,0,0,0,77.7864693872488,0,0,77.7864693872488
2010-01-01,2010,"Q1","2009/10","Q3","January",1.43873612657224,5.07806549619512,0.94074859668717,0.0499401313862209,0.0740148420248831,0.203087946107359,0,0.431809188689342,5.08659185530485,0,0,0,0,4.85633157673605,0,0.0217708478665339,,,,0,0,0,18.1810966075698,0,0,18.1810966075698
2010-02-01,2010,"Q1","2009/10","Q3","February",2.82049302646198,0.785955980160694,0.0355091501825996,0.0603710379679647,7.4587881404887,0.0234508112555418,0,0.301503717608293,0.458222552903258,0.00655008730836274,0,0,0,1.13748248113205,0,0,,,,0,0,0,13.0883269854695,0,0,13.0883269854695
2010-03-01,2010,"Q1","2009/10","Q3","March",0.511758511230088,1.47317122860263,0.339102385984835,13.6046555696423,0.497426415212603,0,0.0900487470323972,0.940586593322952,6.30075923482874,0,0,0,0,1.95544327272448,0,0.0148446526262207,,,,0,0,0,25.7277966112072,0,0,25.7277966112072
