"Date","Year","Quarter","FY","QFY","Month","EXP_W_SEC","EXP_W_RAW","EXP_W_AGR","EXP_W_EDU","EXP_W_HEA","EXP_W_WAE","EXP_W_JLO","EXP_W_ACC","EXP_W_EAM","EXP_W_TTI","EXP_W_LHUD","EXP_W_SD","EXP_W_ICT","EXP_W_PSM","EXP_W_PAD","EXP_W_PARL","EXP_W_STD","EXP_W_TOU","EXP_W_LGOV","EXP_W_I","EXP_W_I_DOM","EXP_W_I_EXT","EXP_W_CEN_TOT","EXP_W_LGP_TOT","EXP_W_I_TOT","EXP_W"
2011-01-01,2011,"Q1","2010/11","Q3","January",23.747305853,1.741366905,0.413469614,60.237956965,16.378383484,0.439539629,14.944641468,2.133931712,0.164429133,0.188602446,0.154211532,0.121925786,0.072060161,10.613468237,2.43860896591667,1.166535768,,,,0,0,0,59.2720642689167,75.68437339,0,134.956437658917
2011-02-01,2011,"Q1","2010/11","Q3","February",24.364540854,1.731250841,2.051663713,60.476384734,16.658806311,0.439595629,14.431942045,2.167176485,0.166671086,1.760071692,0.151193716,0.125258291,0.05591871,10.609542628,2.78594615091667,1.16534905,,,,0,0,0,63.1751866869167,75.966125249,0,139.141311935917
2011-03-01,2011,"Q1","2010/11","Q3","March",25.452713133,1.857962648,2.693167952,61.206733357,16.415828868,0.444085382,14.331282827,4.089955477,0.162014675,0.733556716,0.164110093,0.123873627,0.053807862,10.579022807,2.80429980891667,0.961971782,,,,0,0,0,65.5258398649167,76.54854715,0,142.074387014917
2011-04-01,2011,"Q2","2010/11","Q4","April",24.981690798,1.805603568,1.361322836,61.23787755,16.435865242,0.45613706,14.660510892,4.050022659,0.198154063,0.82138718,0.165553597,0.12770041,0.056992184,10.648795971,2.76371614091667,0.990147563,,,,0,0,0,63.9839898169167,76.777487897,0,140.761477713917
2011-05-01,2011,"Q2","2010/11","Q4","May",25.081499954,1.757915324,1.865416398,62.26567267,16.776006004,0.496274641,14.524116598,1.640845336,0.176218339,1.355057928,0.169181982,0.153013221,0.411675386,10.591931767,2.91991308791667,1.07419638,,,,0,0,0,63.4235099189167,77.835425097,0,141.258935015917
2011-06-01,2011,"Q2","2010/11","Q4","June",25.89051501,2.348978413,3.410869735,62.928590264,16.620305241,0.476277006,14.870987677,3.517682507,0.196239012,0.867185615,0.174475936,0.173528441,0.357807877,11.438078222,3.24502158991667,2.046445684,,,,0,0,0,69.1590135029167,79.403974727,0,148.562988229917
2011-07-01,2011,"Q3","2011/12","Q1","July",23.975552886,1.641518749,0.388047385,61.662441458,16.436524076,0.477526338,14.605206118,9.22888540241667,0.174727549,0.265718666,0.164762224,0.137677009,0.051945289,9.29219969,2.77464700525,1.31873028,,,,0,0,0,70.4710616436667,72.125048481,0,142.596110124667
2011-08-01,2011,"Q3","2011/12","Q1","August",24.233140068,1.934853193,4.132941142,58.720140952,16.823845009,0.482582696,14.374063268,7.26024646541667,0.233812694,1.626313896,0.162876724,0.134968433,0.051879167,9.96157862,2.85536094125,1.315257055,,,,0,0,0,70.9411444946667,73.362715829,0,144.303860323667
2011-09-01,2011,"Q3","2011/12","Q1","September",26.491829431,1.812351922,2.277932115,61.417823697,17.528960417,0.479054268,15.242821344,7.49629688941667,0.173931221,0.809165985,0.16167907,0.135020275,0.051746326,10.510871813,2.86575417225,1.343128286,,,,0,0,0,73.8546121496667,74.943755082,0,148.798367231667
2011-10-01,2011,"Q4","2011/12","Q2","October",25.13082008,1.647923836,0.675466662,60.910310335,16.938633066,0.448473897,20.765087266,9.03915390441667,0.1605717,0.965465833,0.159797304,0.13126995,0.045990829,10.596668395,2.76666527225,1.347704262,,,,0,0,0,76.4211444686667,75.308858123,0,151.730002591667
