"Date","Year","Quarter","FY","QFY","Month","DCS_NFA","DCS_NFA_CBK","DCS_NFA_CBK_OFA","DCS_NFA_ODC","DCS_NDA","DCS_DCL","DCS_DCL_NCCG","DCS_DCL_CCG","DCS_DCL_LCG","DCS_DCL_COS","DCS_DCL_COS_OFC","DCS_DCL_COS_SLG","DCS_DCL_COS_PNFC","DCS_DCL_COS_PRV","DCS_DCL_COS_PRV_LN","DCS_OIN","DCS_OIN_SOE","DCS_OIN_COA","DCS_OIN_OIN","DCS_M3","DCS_M3_FXD","DCS_M2","DCS_M2_OLCD","DCS_M1","DCS_M1_TLCD","DCS_M1_CODC"
2006-06-01,2006,"Q2","2005/06","Q4","June",3061.60023828107,2593.145748097,2601.676048309,468.45449018407,210.00300430771,1561.32506597536,-104.32598576964,2635.929017039,2740.25500280864,1665.651051745,53.742219149,0.600368,23.194964744,1588.113499852,1587.488499852,-1351.32206166765,848.186775296,-71.547234687,-431.58805168465,3271.60324258878,706.64051746178,2564.962725127,858.535995904,1706.426729223,961.534268422,744.892460801
2006-07-01,2006,"Q3","2006/07","Q1","July",3449.12652014939,2889.787303447,2905.31386686,559.33921670239,-152.17149768831,1304.84634994601,-430.92863714799,2291.435732251,2722.36436939899,1735.774987094,53.878790118,1.999342,25.054226713,1654.842628263,1654.342628263,-1457.01784763432,843.371118225,-136.891577518,-476.75515189132,3296.95502246108,776.77759313708,2520.177429324,849.334017217,1670.843412107,906.387099842,764.456312265
2006-08-01,2006,"Q3","2006/07","Q1","August",3472.05597174805,2916.884020205,2932.65104474,555.17195154305,-17.0655364792503,1425.06804151555,-306.112936188,2410.321203074,2716.434139262,1731.18097770355,51.550402494,2.0627,12.349099713,1665.21877549655,1664.71877549655,-1442.1335779948,905.41285649165,-103.491619089,-433.229102414151,3454.9904352688,795.932251083,2659.0581841858,890.8559896678,1768.202194518,986.137373563,782.064820955
2006-09-01,2006,"Q3","2006/07","Q1","September",3420.69121648504,2922.746734366,2942.922031962,497.94448211904,10.7004692353005,1462.9487592229,-310.8525396491,2327.913719037,2638.7662586861,1773.801298872,53.369145736,2.092493,25.347376651,1692.992283485,1692.492283485,-1452.2482899876,908.370670517,-97.8059534500001,-446.071666020599,3431.39168572034,791.75611041134,2639.635575309,865.224839386,1774.410735923,996.64514988,777.765586043
2006-10-01,2006,"Q4","2006/07","Q2","October",3405.371374064,2920.972232989,2940.778812248,484.399141075,270.108535129099,1528.4111884648,-296.673202924,2504.08883653,2800.762039454,1825.0843913888,53.784223048,1.834735,32.09922262,1737.3662107208,1736.8662107208,-1258.3026533357,924.384126598,-69.256807241,-264.661719496701,3675.4840091931,786.134786894,2889.3492222991,906.3208839951,1983.028338304,1210.152171144,772.87616716
2006-11-01,2006,"Q4","2006/07","Q2","November",3466.96302070935,2882.179253121,2899.194427326,584.78376758835,164.73036128993,1550.84141323863,-296.70764123092,2745.334765472,3042.04240670292,1847.54905446955,57.435433353,1.681516,35.951412589,1752.48069252755,1751.98069252755,-1386.1110519487,913.45588430593,-67.4220051280201,-405.23316251475,3631.69338199928,826.276704613487,2805.41667738579,925.67228429068,1879.74439309511,1063.16875008311,816.575643012
2006-12-01,2006,"Q4","2006/07","Q2","December",3778.27970359592,3140.704282168,3158.521035507,637.57542142792,-152.031932182633,1275.79122148581,-536.589388974319,2602.153235499,3138.74262447332,1812.38061046013,53.692604937,1.729366,33.628297558,1723.33034196513,1722.83034196513,-1427.82315366844,807.889197499,-84.451461338,-535.482494831444,3626.24777073363,794.824037903627,2831.42373283,941.156487855,1890.267244975,1004.396446236,885.870798739
2007-01-01,2007,"Q1","2006/07","Q3","January",3854.15443978045,3191.39094889,3205.732895471,662.76349089045,-196.508862310271,1385.7730204437,-557.17447623048,2494.064999468,3051.23947569848,1942.94749667418,53.378632053,1.511125,23.277813527,1864.77992609418,1864.40492609418,-1582.28188275397,911.581384152,-137.10141364,-533.599084961971,3657.64557747018,847.00526335718,2810.640314113,892.862288999,1917.778025114,1044.189241098,873.588784016
2007-02-01,2007,"Q1","2006/07","Q3","February",3940.65182242265,3247.589809533,3251.556011874,693.06201288965,-208.72088646817,1454.82267875636,-504.254299237639,2524.106172306,3028.36047154364,1959.076977994,53.119711288,1.371713,23.241993496,1881.34356021,1880.96856021,-1663.54356522453,919.639010048,-103.808747468,-640.095807708531,3731.93093595448,880.50874369448,2851.42219226,910.164765472,1941.257426788,1093.790264577,847.467162211
2007-03-01,2007,"Q1","2006/07","Q3","March",3951.35921385555,3282.944540162,3302.562304372,668.41467369355,-77.7006833699297,1392.24871446305,-612.220796894949,2439.710770657,3051.93156755195,2004.469511358,95.95916496,1.246194,38.168145465,1869.096006933,1868.721006933,-1469.94939783298,915.597906013,-100.192755811,-454.15873600898,3873.66053048562,913.88251900962,2959.778011476,989.987588422,1969.790423054,1114.072185553,855.718237501
