"Date","Year","Quarter","FY","QFY","Month","OFCS_NFA","OFCS_CNR","OFCS_LNR","OFCS_NCCG","OFCS_CCG","OFCS_LCG","OFCS_COS","OFCS_COS_SLG","OFCS_COS_PNFC","OFCS_COS_PRV","OFCS_COS_PRV_LN","OFCS_CDC","OFCS_LDC","OFCS_LOS","OFCS_LOS_ITR","OFCS_SOE","OFCS_OIN","OFCS_OIN_FA"
2022-10-01,2022,"Q4","2022/23","Q2","October",6750.64208201049,7196.4578490279,445.815767017411,12652.3111214235,12661.8303182914,9.51919686793,2997.05858852018,0,294.732001865493,2702.32658665469,1874.36537590364,1594.05715598502,118.236188562052,22143.4844135341,22092.4785494467,3770.98920581319,2038.64085998338,1818.79573516234
2023-01-01,2023,"Q1","2022/23","Q3","January",6845.40009027346,7278.23472293889,432.83463266543,13319.0664703198,13328.4364571847,9.36998686493,3090.09945727501,0,295.423737196433,2794.67572007858,1962.57847656871,1591.4984201951,152.231246691883,22863.9261525491,22816.9892708319,3590.86356098908,1760.95652216668,1590.625709008
2023-04-01,2023,"Q2","2022/23","Q4","April",6121.88976278106,6670.56963803615,548.67987525509,13925.1946362887,13934.2143592247,9.01972293593,3106.07093503236,0,271.461321308754,2834.6096137236,1993.44124820252,1737.92471883589,191.000449919238,22631.8540497045,22591.9020996912,4209.86702250367,2141.64146918933,1646.23537505876
2023-07-01,2023,"Q3","2023/24","Q1","July",6065.65906023299,6500.63921185332,434.98015162033,14357.7876463711,14366.807369307,9.01972293593,3147.95765328509,0,288.584706560248,2859.37294672484,2095.83882998628,2012.99308848651,164.427959095356,23937.5205685902,23889.1748023335,3460.70490260591,1978.25598166492,1744.56989321137
2023-10-01,2023,"Q4","2023/24","Q2","October",6028.38124384295,6440.77797126909,412.396727426147,14784.5724607784,14793.2808086683,8.70834788993,3639.95639660868,0,289.486029939925,3350.47036666875,2184.94900058271,1822.10008822287,151.03266736101,24528.1693206283,24470.5269329144,3710.73646789307,2114.92826839536,1806.22654532607
2024-01-01,2024,"Q1","2023/24","Q3","January",7476.45003199838,7857.53000996673,381.079977968345,15381.114776601,15389.8231244909,8.70834788993,3680.79577583086,0,271.16076802409,3409.63500780677,2230.75057599806,1703.84369711976,234.783318472451,25206.9880972474,25154.194490713,4943.85454811651,2143.42168225501,1787.82854270319
2024-04-01,2024,"Q2","2023/24","Q4","April",7656.0900271401,8019.54341197408,363.453384833984,16597.9104759738,16605.0400934387,7.12961746493,3593.35847756453,0,283.391696690836,3309.9667808737,2216.71747635181,2051.03816227941,308.04047643573,26765.855433337,26706.9287933013,5006.91413406691,2182.41290075591,1794.61666920607
2024-07-01,2024,"Q3","2024/25","Q1","July",8166.16859102371,8490.6713948349,324.502803811186,17365.66928198,17372.7988994449,7.12961746493,3597.59845775686,0,255.11094391322,3342.48751384364,2231.74085158422,2125.61869893359,207.932429508663,28047.9612144015,27982.9244060283,5073.14760556476,2073.98621978067,1800.76264078822
2024-10-01,2024,"Q4","2024/25","Q2","October",8698.00614531064,9108.07664833502,410.070503024383,18129.206044886,18137.1965729259,7.99052803993,4406.12913624824,0,289.37199073919,4116.75714550905,2813.26151832027,2009.23804910746,365.272797735028,28358.7019324339,28272.9900108255,6581.58069521861,2062.97604983543,1998.36049004512
2025-01-01,2025,"Q1","2024/25","Q3","January",8501.04472305015,8922.87739570519,421.832672655037,18860.0875428127,18868.5140205778,8.42647776517403,4589.58399673256,0,285.50763841182,4304.07635832074,2815.6360508145,2132.41470632746,402.763989997705,29293.9806413571,29212.4350414229,6583.25910419354,2196.8727666255,2037.71257010133
2025-04-01,2025,"Q2","2024/25","Q4","April",8586.8640289938,8992.80501367436,405.940984680553,20347.8005695689,20354.7078473928,6.90727782388769,4279.02347476566,0,55.24379261164,4223.77968215402,2811.02501516573,2081.6516678982,366.233134599998,30189.7538643339,30107.3669345518,6713.6694064322,1974.31666414839,2080.24740509246
2025-07-01,2025,"Q3","2025/26","Q1","July",8520.20346641649,9003.83447524618,483.631008829681,21921.7172067024,21928.548366316,6.83115961355627,4501.68257448599,0,80.834440406048,4420.84813407994,2890.85267449704,2432.48230019528,343.585122097652,32390.4367688768,32319.4645147836,6604.57565757913,1962.51199975472,2133.49123754651
2025-10-01,2025,"Q4","2025/26","Q2","October",9187.48825944744,9813.03933765354,625.5510782061,22616.9203181428,22622.3231164056,5.40279826284142,4712.6416011414,0,80.2100271690386,4632.43157397236,3000.80222004604,2868.39693579128,331.57655696141,32998.6340493442,32909.5841988692,7910.17623175908,1854.9397235375,2142.02602324092
2026-01-01,2026,"Q1","2025/26","Q3","January",9845.74662374458,10495.8987866783,650.152162933771,24388.1495107769,24393.4116683995,5.26215762257365,5491.61740961699,0,81.0986686191713,5410.51874099782,3124.36552475457,2803.83597693681,371.455671609167,34242.8056928229,34151.728973463,9807.88721023154,1892.79905959298,2164.61765018722
