"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_SEC","EXP_DPD_RAW","EXP_DPD_AGR","EXP_DPD_EDU","EXP_DPD_HEA","EXP_DPD_WAE","EXP_DPD_JLO","EXP_DPD_ACC","EXP_DPD_EAM","EXP_DPD_TTI","EXP_DPD_LHUD","EXP_DPD_SD","EXP_DPD_ICT","EXP_DPD_PSM","EXP_DPD_PAD","EXP_DPD_PARL","EXP_DPD_STD","EXP_DPD_TOU","EXP_DPD_LGOV","EXP_DPD_I","EXP_DPD_I_DOM","EXP_DPD_I_EXT","EXP_DPD_CEN_TOT","EXP_DPD_LGP_TOT","EXP_DPD_I_TOT","EXP_DPD"
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,58.9583263263751,0,0,58.9583263263751
2004-07-01,2004,"Q3","2004/05","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-08-01,2004,"Q3","2004/05","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-09-01,2004,"Q3","2004/05","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-10-01,2004,"Q4","2004/05","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-11-01,2004,"Q4","2004/05","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-12-01,2004,"Q4","2004/05","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-01-01,2005,"Q1","2004/05","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-02-01,2005,"Q1","2004/05","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-03-01,2005,"Q1","2004/05","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-04-01,2005,"Q2","2004/05","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-05-01,2005,"Q2","2004/05","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-06-01,2005,"Q2","2004/05","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,52.7040645958027,0,0,52.7040645958027
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,21.3160083199961,0,0,21.3160083199961
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,28.6163231241033,0,0,28.6163231241033
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,59.0617792946024,0,0,59.0617792946024
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,79.9142520125662,0,0,79.9142520125662
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,53.3089133652957,0,0,53.3089133652957
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,25.8321162798925,0,0,25.8321162798925
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,64.8405051827406,0,0,64.8405051827406
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,37.401989523275,0,0,37.401989523275
