"Date","Year","Quarter","FY","QFY","Month","EXPI_99","EXPI_05","IMPI_99","IMPI_05","TOT_99","TOT_05"
2006-04-01,2006,"Q2","2005/06","Q4","April",121.911264060796,121.887333173747,120.760084985553,120.760084985553,100.953277794878,100.933460909977
2006-05-01,2006,"Q2","2005/06","Q4","May",121.219681428091,121.195886297045,129.384499131897,129.384499131897,93.6894931320307,93.6711021105362
2006-06-01,2006,"Q2","2005/06","Q4","June",113.666370061689,113.644057627444,126.015311509774,126.015311509774,90.2004436602716,90.1827375307717
2006-07-01,2006,"Q3","2006/07","Q1","July",107.776702530806,107.755546224089,129.084812704834,129.084812704834,83.4929379161342,83.4765484538314
2006-08-01,2006,"Q3","2006/07","Q1","August",117.087877730638,117.064893662691,129.013191782868,129.013191782868,90.7565157582483,90.738700473137
2006-09-01,2006,"Q3","2006/07","Q1","September",120.8946233925,120.870892069563,124.424419270571,124.424419270571,97.1631003795204,97.1440274973025
2006-10-01,2006,"Q4","2006/07","Q2","October",116.329853538475,116.307018268848,126.120387315339,126.120387315339,92.2371521486179,92.2190462181549
2006-11-01,2006,"Q4","2006/07","Q2","November",124.685427667287,124.660952218614,127.882141743317,127.882141743317,97.5002654534465,97.481126386538
2006-12-01,2006,"Q4","2006/07","Q2","December",126.175377540099,126.150609617861,130.651942286912,130.651942286912,96.5736714904835,96.5547143117347
2007-01-01,2007,"Q1","2006/07","Q3","January",124.493071781319,124.468634091643,127.631488493471,127.631488493471,97.541032585926,97.5218855165277
2007-02-01,2007,"Q1","2006/07","Q3","February",126.274312463219,126.249525120295,131.352145154387,131.352145154387,96.134183659354,96.1153127510063
2007-03-01,2007,"Q1","2006/07","Q3","March",127.750090253689,127.725013219144,134.431484236855,134.431484236855,95.029889001751,95.0112348637806
2007-04-01,2007,"Q2","2006/07","Q4","April",130.786281669156,130.76060863756,140.5083163943,140.5083163943,93.0808118874175,93.0625403485829
2007-05-01,2007,"Q2","2006/07","Q4","May",129.698654174187,129.673194641245,141.917719936682,141.917719936682,91.3900351781677,91.3720955347224
2007-06-01,2007,"Q2","2006/07","Q4","June",127.872866340409,127.847765205215,142.431815341407,142.431815341407,89.7783027155132,89.7606794512625
2007-07-01,2007,"Q3","2007/08","Q1","July",132.249744214152,132.223783908389,143.623432642692,143.623432642692,92.0808963974315,92.0628211395955
2007-08-01,2007,"Q3","2007/08","Q1","August",135.628851592715,135.602227976325,137.700189089674,137.700189089674,98.4957627795194,98.4764282988872
2007-09-01,2007,"Q3","2007/08","Q1","September",133.192265445525,133.166120125118,141.955940153523,141.955940153523,93.826482570211,93.8080646580202
2007-10-01,2007,"Q4","2007/08","Q2","October",137.782801507423,137.75575507586,145.065729829869,145.065729829869,94.9795666206017,94.9609223607933
2007-11-01,2007,"Q4","2007/08","Q2","November",133.047459069856,133.021342174591,147.062051247365,147.062051247365,90.4702864820397,90.4525273830448
2007-12-01,2007,"Q4","2007/08","Q2","December",140.963732696794,140.936061856113,146.96903081105,146.96903081105,95.9139023499611,95.895074682303
2008-01-01,2008,"Q1","2007/08","Q3","January",140.379681049035,140.352124856283,154.555322127992,154.555322127992,90.828111977135,90.8102826378586
2008-02-01,2008,"Q1","2007/08","Q3","February",150.488656535545,150.459115975291,164.391952057689,164.391952057689,91.5425935709644,91.5246239806747
2008-03-01,2008,"Q1","2007/08","Q3","March",152.397158513476,152.367243318887,171.779332782445,171.779332782445,88.7168182836543,88.6994033862369
2008-04-01,2008,"Q2","2007/08","Q4","April",165.858010842461,165.825453315032,172.679099869749,172.679099869749,96.0498467779637,96.0309924247423
2008-05-01,2008,"Q2","2007/08","Q4","May",162.580790807313,162.548876590272,174.79723698078,174.79723698078,93.01107592747,92.9928180776361
