"Date","Year","Quarter","FY","QFY","Month","CPI_HL_05","CPI_C_05","CPI_HL_09","CPI_C_09","CPI_HL_16","CPI_C_16","INF_HL_05","INF_C_05","INF_HL_09","INF_C_09","INF_HL_16","INF_C_16","E_EP","E_PA","E_DA","REER","I_CBR","I_RR","I_LR","I_TBY_91","I_TBY_364","I_TDR","NFA","NDA","DC","NCG","PSC","M3","M2","CODC","PDD","PTSD","CIC","M0","TB","EX_G","IM_G","EX_S","IM_S","EDS","DLG","TOT","R_PT","FDI","BTI","CIEA","TBILL","TBOND","FXR","FXR_M"
2011-01-01,2011,"Q1","2010/11","Q3","January",172.287587132166,167.477849414865,117.370401046345,115.808620919006,,,18.6750882016828,17.2580840405591,15.8543166373522,13.8121045923698,,,2490.99,2522.74631724487,15.8521099593476,96.3494438923145,18.1666666666667,17.8081944444444,21.8333142597665,14.6086115773816,15.8958096464203,13.0184248002232,6321.74175570849,4294.21891883162,7729.66717231581,239.381756528658,7401.58694782215,10615.9606751131,7828.02576778778,2074.08343312538,2468.29953251043,3285.64280215198,2487.282601297,3178.289731838,-2477.59170117267,2519.12664263771,4996.71834381038,1779.35270313703,2462.8642958893,57.2908238504418,685.352419769413,109.387970112331,812.943613,894.293857999999,,88.4582784901503,1712.4286,2648.5799,2398.59219200479,3.76813137527552
2012-01-01,2012,"Q1","2011/12","Q3","January",196.433541064961,192.094280738049,132.249858556323,128.882484499252,,,14.0160565636524,14.6983206490824,12.677350828939,11.2891971914503,,,2685.945,2503.3131004878,-0.770319894007054,86.6620392942494,18.0416666666667,22.0416666666667,26.062320001241,15.6991158141965,17.3478483130171,16.7983045789603,8468.41100985569,3793.6198814117,8396.80518925994,-27.2164392486666,8339.26385126443,12262.0351661793,8983.32120572978,2239.65273742173,3167.66238698333,3576.00608132472,2683.767933816,3731.36877189714,-2451.06413469848,2810.48087678364,5261.54501148211,2125.35597330409,2484.75875789696,68.0466667349651,996.48271123984,103.006124336444,910.316842968659,1205.38848779374,62.22164593,94.2597794642214,2583.5868,3411.4789,2951.26432330232,4.78469744913724
2013-01-01,2013,"Q1","2012/13","Q3","January",207.168607073002,204.181926771713,138.7357815017,136.311227560623,,,5.46498624921232,6.29255904299777,4.90429480695056,5.76396636845922,,,2527.95547939149,2586.46447017396,3.32165279964218,86.0144977130827,11.7083333333333,14.7916666666667,23.2855781062973,9.92468502252861,13.1464204935819,12.1156726815361,8519.58406298293,4956.78982207807,9351.38390138004,346.956835110046,8910.4607924983,13476.3738837829,9788.83732289097,2364.01113667137,3364.89316559022,4059.93302062938,2832.083954137,3775.916094528,-2145.40310612829,2828.71473959046,4974.11784571875,2103.06107589043,2427.63999918192,80.8421348890814,879.426516609785,100.499010908331,931.570329696436,1096,62.1951444741667,100,2801.8904,4552.9036,3121.82122135811,4.81853490080415
2014-01-01,2014,"Q1","2013/14","Q3","January",216.05124108616,210.498058046771,143.001874704378,139.870365248357,,,4.28763514832538,3.0933841084378,3.07497687799154,2.61103780768976,,,2773.065,2600.32551788125,0.535907137605451,85.2483755904662,11.2083333333333,14.2083333333333,21.5842268570126,10.2261530431707,12.7341073793524,10.8095065889367,8631.46881909705,6813.6160139606,11887.1529929405,1584.57178552289,10196.9786275542,15445.0848319765,11239.641353151,2747.70255454036,3876.58223363458,4615.35656497602,3320.143750907,4685.085403492,-2374.84358049744,2724.7731327444,5099.61671324185,2180.52178267183,2674.91546873847,109.222929020213,676.10824636238,113.888975740065,885.933822414435,1058.56454034685,57.4469921157818,104.890408428197,3205.7528,6167.1605,3234.27161075444,5.51539383058159
2015-01-01,2015,"Q1","2014/15","Q3","January",227.340327664683,221.405192119336,150.735972615038,147.449135485656,,,5.22518941421939,5.18158417886301,5.40838917437114,5.41842457038133,,,3377.01,3245.53730559149,24.8127314550972,96.6117839172668,13.9583333333333,17.375,22.6013397051901,15.8272936336133,18.4948688895677,12.7676244043397,10255.7572312287,7001.9038093542,13756.2242214957,1891.33251097552,11776.1438571065,17257.6610416659,11866.3089627593,3157.23583483135,3683.75108148415,5025.32204644384,3716.49672799,5054.754432965,-2288.20510819315,2667.18616680386,4955.39127499701,2061.46252509192,2378.31483911659,85.8744824622767,1104.08447537195,129.190851173966,901.87321438796,737.652140151427,53.1333333333333,112.175710933333,3282.2018,7268.9229,2819.82974554739,5.18453320457324
2016-01-01,2016,"Q1","2015/16","Q3","January",,,158.952780703506,156.206934753371,,,,,5.45112619497479,5.93953924441077,,,3610.5,3420.45282833617,5.38941649024727,96.9741997147687,14.9166666666667,18.9166666666667,23.8861326246628,15.8811335149751,17.6039878579779,13.2378832692478,12117.4617738164,7062.01270896702,14969.1514235353,2263.77146027005,12618.0145813156,19179.4744761607,13472.6681885513,3464.52220619789,4349.89237495547,5658.25360739793,4048.433250992,5272.559986711,-1597.1015509023,2921.24677087465,4518.34832177695,1915.2319192106,2026.34069383744,103.761270831961,1240.77304668038,130.081981543133,1145.54,625.704361867068,54.7083333333333,116.386736991667,4401.8452,8013.3451,2995.88034384937,4.88992487681738
2017-01-01,2017,"Q1","2016/17","Q3","January",,,167.919657018436,163.148990188919,,,,,5.64122016314723,4.44414036195553,,,3635.08,3611.3611184739,5.58137473951346,99.9970777641296,10.4583333333333,14.4583333333333,21.2786714889596,10.598409596069,12.088166978736,9.69723419871754,13826.4844650136,7788.79747173493,16262.2594607807,2777.94583623199,13413.6416105856,21615.2819399519,15550.8878996533,3815.7286362438,5320.40907812205,6414.75018528743,4550.810607764,6051.665400065,-1714.43595265547,3449.91097492032,5164.34692757578,1645.59410748696,2067.05362101476,196.952427477948,1345.48292013729,132.685024905683,1165.3,802.704141008569,56.7583333333333,121.230444008333,3267,9133.8053,3613.37707464654,4.84161960913388
2018-01-01,2018,"Q1","2017/18","Q3","January",,,172.324816002592,167.102581849606,105.359980673772,105.107422171106,,,2.62337302396491,2.42330133708348,,,3713.35,3727.78966509857,3.22395193405287,103.575908937028,9.29166666666667,13.2916666666667,19.8475023465286,9.80889042810788,11.77160775388,9.38495271390456,13939.757925174,9454.92711505751,17940.4323086022,2862.14673881911,14979.0926112514,23394.6850428002,16636.2931929625,4225.07218677199,5614.82554283099,6796.39546335957,5125.785894882,7077.781965857,-2453.47600391552,3636.1823243842,6089.65832829972,2293.44696723456,2635.19374414696,321.221155047856,1383.32171335923,126.708670417314,1337.81,1055.35335263033,57.05,127.779384566667,3984.4862,10722.6806,3169.80463047185,3.94147189386197
2019-01-01,2019,"Q1","2018/19","Q3","January",,,177.271370782211,173.110759625486,107.612021263719,107.676814643932,,,2.87048313432972,3.59550266032842,2.13747247820786,2.44453951942927,3665.20833333333,3704.0024291722,-0.638105635333353,100.747542581824,9.75,13.75,19.9182163644846,9.39508409283534,11.7791806539419,10.1109820073786,14083.7211509533,13034.3630768993,22483.4440239755,5433.95246753905,16827.8768158396,27118.0842258191,19362.0942574767,4688.75841261148,6757.68554395623,7915.65030090896,5669.199044263,7618.027540199,-2753.94531615382,4095.64613477437,6849.59145092819,2076.17310513572,2944.80894167598,292.258190763884,1457.45358118323,122.214735150884,1424.44530036727,1303.00500533932,57.8583333333333,135.435029983333,4746.106,13209.5771,3185.90795080485,3.73335385584799
2020-01-01,2020,"Q1","2019/20","Q3","January",,,183.99384124272,181.208719423559,110.579442607257,111.158746707823,,,3.79219184172053,4.67790668563475,2.75751845257675,3.23368784209099,3650.07,3717.54256455863,0.365554171341498,99.3247491069769,7.66666666666667,10.6666666666667,19.1143625112147,8.73952534627046,12.6733283393118,9.94623828662811,16644.2074698739,15109.0279534628,26139.3354051509,7767.07087436456,18249.0892310161,31753.2354240734,22957.2199376532,5435.85050807917,8136.33590807009,9385.03352150393,6411.510696695,9003.035890099,-2636.82638998151,4461.29540845543,7098.12179843694,1160.34982920032,3110.55474277449,315.905057821595,2537.41995431433,124.351986036284,1061.83629949941,1191.48542371975,48.125,141.353624025,6203.8897,17500.3984,3849.55152581128,4.2266452379852
2021-01-01,2021,"Q1","2020/21","Q3","January",,,,,113.020427512845,114.233207279411,,,,,2.20744909545021,2.76582874730411,3544.41,3584.69072337617,-3.57364680767914,97.758857495008,6.70833333333333,9.70833333333333,18.5342212914239,7.23059901627912,10.9618449908106,8.58831179153513,16932.0611408081,16428.6164619827,28470.5984298252,8563.17228561323,19764.516100377,33360.6776059793,24293.7344191345,5792.7521355523,8910.1713698249,9590.81091375734,6845.276437693,8950.601042099,-3046.4140632526,4493.8538672841,7540.2679305367,1737.49442516353,3079.72101043016,480.150287591327,2175.22515181782,110.699390050551,1155.1,1648.2402626506,50.5083333333333,149.133389316667,5788.9781,22077.4848,4333.20071394962,4.982463241957
2022-01-01,2022,"Q1","2021/22","Q3","January",,,,,121.149069289821,121.072133808874,,,,,7.19218813435478,5.98681127173071,3715.69,3694.97872,3.07663910598013,95.4082967500437,8.04166666666667,11.0416666666667,18.2024914345193,8.67870042348082,11.9041902432514,9.28192063708174,13241.8440894701,22612.6176354279,37386.4961223668,14705.7674603835,21803.2987908339,35854.4617254684,26302.3395546115,6366.05810542605,9383.51384722253,10552.7676019629,7602.426566144,10472.434972825,-3671.74561694589,4275.49070552487,7947.23632247076,1840.26009334246,3131.70413530773,722.175071811006,1424.98344717067,98.7567407741054,1250.3,2952.94168783427,52.8666666666667,153.218016116667,5534.8697,27203.9556,3563.14924109653,3.25715618283392
2023-01-01,2023,"Q1","2022/23","Q3","January",,,,,127.633304544926,126.786220783351,,,,,5.35227822476514,4.71957236955722,3782.22222222222,3725.88417450717,0.836417658913402,91.7237483152521,9.79166666666667,12.7916666666667,18.586685344607,10.0502782089112,12.5056460040818,10.8388106983611,14648.823031044,25096.8367772197,42320.7730750158,17141.8162274268,23922.4531818433,39745.6598057662,29678.5864794879,7042.27541480943,10167.4918581271,12468.8192065514,8346.135907753,11515.528896559,-2822.56148735823,6879.45674747999,9702.01823483822,2083.59998316153,3610.62728940322,,2023.80835165838,102.503481612672,1513.72,2993.518989,57.0833333333333,161.76035915,,,3733.89880676283,3.60337656691967
2024-01-01,2024,"Q1","2023/24","Q3","January",,,,,131.875190235042,131.376984139832,,,,,3.32349436946828,3.62086930907521,3681.13636363636,3754.96842024664,0.780599835563001,91.2149712910796,9.9375,12.9375,18.1270058002824,10.2175855405553,13.8510516403006,11.1521155737359,13323.6024251094,29004.0439857834,48132.4595798168,21590.9973962313,25545.571652418,42327.646413527,31759.1933449284,7755.20603147237,10481.9999360553,13521.9873774007,9093.716972226,12392.172410942,-3005.66150461319,8668.44189791201,11674.1034025252,2560.82153641996,4448.63314394907,,1352.49063386849,135.779030251276,1429.34186584728,3115.66989380016,56.85,169.344499608333,,,3302.8,2.30278095696285
2025-01-01,2025,"Q1","2024/25","Q3","January",,,,,136.597418058132,136.40597840904,,,,,3.58083109845986,3.82791118408961,3619.65,3601.7826521188,-4.15018637878181,87.3375935146543,9.75,12.75,18.3368052420758,11.2521160486566,15.1428129534174,11.2400065682488,22758.8101564944,28050.0049792162,50225.2964246357,20607.0925397748,28616.0489974515,50808.8151333257,37886.5122594836,9167.51480621025,13010.095037432,15708.9024158414,10703.303506282,15218.334605827,-2097.19731187692,13657.1493020515,15754.3466139284,2750.01563290187,5471.84745506041,,1739.21808047827,142.890862044951,2797.94443994,3358.03736411234,58.2416666666667,180.404648775,,,5991.08,3.719428859253
