"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_SEC","EXP_NWR_RAW","EXP_NWR_AGR","EXP_NWR_EDU","EXP_NWR_HEA","EXP_NWR_WAE","EXP_NWR_JLO","EXP_NWR_ACC","EXP_NWR_EAM","EXP_NWR_TTI","EXP_NWR_LHUD","EXP_NWR_SD","EXP_NWR_ICT","EXP_NWR_PSM","EXP_NWR_PAD","EXP_NWR_PARL","EXP_NWR_STD","EXP_NWR_TOU","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2004-11-01,2004,"Q4","2004/05","Q2","November",,,,,,,,,,,,,,,,,,,,15.470512260898,12.2389178350767,3.2315944258213,79.60821146475,23.0510445739167,15.470512260898,118.129768299565
2004-12-01,2004,"Q4","2004/05","Q2","December",,,,,,,,,,,,,,,,,,,,19.6235486556327,15.2276343706197,4.395914285013,62.55002020275,6.97268045291667,19.6235486556327,89.1462493112994
2005-01-01,2005,"Q1","2004/05","Q3","January",,,,,,,,,,,,,,,,,,,,15.2180992250187,12.9035841250447,2.314515099974,59.83181453775,15.6666288319167,15.2180992250187,90.7165425946853
2005-02-01,2005,"Q1","2004/05","Q3","February",,,,,,,,,,,,,,,,,,,,19.8352824061209,13.0994927481388,6.7357896579821,70.48194116475,24.7774848319167,19.8352824061209,115.094708402788
2005-03-01,2005,"Q1","2004/05","Q3","March",,,,,,,,,,,,,,,,,,,,23.7492503802149,16.6358236595246,7.1134267206903,55.91948440275,9.31774983191667,23.7492503802149,88.9864846148815
2005-04-01,2005,"Q2","2004/05","Q4","April",,,,,,,,,,,,,,,,,,,,22.593046809666,14.4882201729828,8.1048266366832,70.42671423275,19.1833078319167,22.593046809666,112.203068874333
2005-05-01,2005,"Q2","2004/05","Q4","May",,,,,,,,,,,,,,,,,,,,17.7109602376526,14.3743754543824,3.3365847832702,89.79544461175,12.5988418319167,17.7109602376526,120.105246681319
2005-06-01,2005,"Q2","2004/05","Q4","June",,,,,,,,,,,,,,,,,,,,20.5899393463692,16.8761119769347,3.71382736943455,127.40072560775,10.7634624985833,20.5899393463692,158.754127452703
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,16.6407801241671,14.5916456795153,2.04913444465188,28.6352994281667,12.8324648911666,16.6407801241671,58.1085444435005
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,23.7794498966308,14.397250471943,9.38219942468774,85.5306990831667,17.0469096211666,23.7794498966308,126.357058600964
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,23.1935783173327,16.3085519958805,6.8850263214522,54.3029800561667,6.31577893016665,23.1935783173327,83.812337303666
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,21.9942799619611,14.1983926104811,7.79588735148,68.2144575081667,18.6165984351667,21.9942799619611,108.825335905294
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,18.0906105824107,14.7866784330077,3.303932149403,98.2291160041666,21.8779004351667,18.0906105824107,138.197627021744
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,19.0547250572623,16.3620306868219,2.6926943704404,66.0768259971667,6.10041043516667,19.0547250572623,91.2319614895956
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,18.5537314040951,14.9162141040887,3.6375173000064,110.330539650167,10.9242774351667,18.5537314040951,139.808548489428
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,21.6681705274597,14.7190152916213,6.9491552358384,87.0209357831667,31.3901054511667,21.6681705274597,140.079211761793
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,24.5138428293134,16.9490078635916,7.5648349657218,68.1148219601667,12.9996884351667,24.5138428293134,105.628353224647
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,21.4155488415741,15.1641030463233,6.2514457952508,57.5530526571667,16.3553075395,21.4155488415741,95.3239090382407
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,18.6727608763187,15.5035331912469,3.1692276850718,104.282091914167,21.0287513308333,18.6727608763187,143.983604121319
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,20.529611814612,16.4609544312132,4.06865738339883,110.487656463167,2.9589497685,20.529611814612,133.976218046279
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,17.1264326513958,14.9136916029756,2.21274104842017,48.0423996833333,16.478435,17.1264326513958,81.6472673347291
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,18.1619332357764,15.0032680956613,3.1586651401151,80.7937662603334,11.784222,18.1619332357764,110.73992149611
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,20.7077777454206,16.8660068834622,3.8417708619584,58.7577542353333,13.189597,20.7077777454206,92.6551289807539
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,21.584757192373,15.3323036714963,6.25245352087678,77.8440053253333,13.17152,21.584757192373,112.600282517706
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,19.6754427681924,17.1728247915678,2.50261797662463,106.607105642333,25.126487,19.6754427681924,151.409035410526
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,19.2171664519921,16.1419411126564,3.07522533933564,75.8700338833334,6.50844131,19.2171664519921,101.595641645325
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,18.3366038720422,16.6963400253354,1.6402638467068,105.038489808333,15.628756,18.3366038720422,139.003849680376
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,18.8610975705287,15.6878139899847,3.173283580544,80.2520815753333,18.179369,18.8610975705287,117.292548145862
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,20.9481326325965,16.9087485079973,4.0393841245992,58.0087745063334,9.716089,20.9481326325965,88.6729961389298
