"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_SEC_P","EXP_DPD_RAW_P","EXP_DPD_AGR_P","EXP_DPD_EDU_P","EXP_DPD_HEA_P","EXP_DPD_WAE_P","EXP_DPD_JLO_P","EXP_DPD_ACC_P","EXP_DPD_EAM_P","EXP_DPD_TTI_P","EXP_DPD_LHUD_P","EXP_DPD_SD_P","EXP_DPD_ICT_P","EXP_DPD_PSM_P","EXP_DPD_PAD_P","EXP_DPD_PARL_P","EXP_DPD_STD_P","EXP_DPD_TOU_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
2013-11-01,2013,"Q4","2013/14","Q2","November",6.83397760607263,34.1210690561857,2.85540213878106,11.5355553892441,0.871219632659076,15.8196383640941,0,0,9.22198248489741,0,0,0,0,18.7411553280659,0,0,,,,0,0,0,100,0,0,100
2013-12-01,2013,"Q4","2013/14","Q2","December",9.52464558807855,3.88412582576421,0.0248961809122526,3.36071633241849,10.8766330248283,42.7961406185848,0,2.1939325607558,16.134151772564,1.35818859264559,0,0,0,9.84656950344804,0,0,,,,0,0,0,100,0,0,100
2014-01-01,2014,"Q1","2013/14","Q3","January",15.8698069904661,2.95096033058439,0.0843343575123128,2.27477356080288,0,9.12880878921973,0,0,1.12647382322156,0,66.8124904129421,0,0,1.75235173525096,0,0,,,,0,0,0,100,0,0,100
2014-02-01,2014,"Q1","2013/14","Q3","February",16.1068431961835,43.3268173000079,9.04965038253085,25.9497384818356,0.111042144126262,0,0,0.523528841951027,0.483924002586528,0,0,0,0,4.44845565077823,0,0,,,,0,0,0,100,0,0,100
2014-03-01,2014,"Q1","2013/14","Q3","March",12.1038445263834,9.02798625188283,0.382213974042577,29.1009725510992,18.189139086246,0.161908976467099,0,1.83423973264942,5.14496122736816,0,0,0,0,24.0547336738613,0,0,,,,0,0,0,100,0,0,100
2014-04-01,2014,"Q2","2013/14","Q4","April",14.1413558197835,16.6669660859068,1.08658722176879,12.4807784834195,0.36495904659575,0.74940454428564,0,0,2.76397950546726,0.0249019395420174,0,0,0,51.6534165698328,0.0676507833978753,0,,,,0,0,0,100,0,0,100
2014-05-01,2014,"Q2","2013/14","Q4","May",0.731097800116374,32.0990856083503,0,6.75141339261569,0.139395614966636,18.5872443762758,0,1.25473896149817,22.2062144145284,0,1.0654745352875,0,0,17.1653352963611,0,0,,,,0,0,0,100,0,0,100
2014-06-01,2014,"Q2","2013/14","Q4","June",14.6021077235565,4.32257148761336,8.96779583111523,16.279683817938,41.194419434585,0.137203450838008,0,1.3920554417105,9.74102283724417,0,0.0365027871193672,0,0,3.32663718827986,0,0,,,,0,0,0,100,0,0,100
2014-07-01,2014,"Q3","2014/15","Q1","July",2.7446765316525,8.52566824184471,0,8.87800544911235,8.55367834515767,11.471651404033,0.506802716944814,3.8036287609865,44.0643812330444,0.882652422156667,0.632236239066153,0,0,9.93661865600117,0,0,,,,0,0,0,100,0,0,100
2014-08-01,2014,"Q3","2014/15","Q1","August",0,52.9980545354588,6.90340289355675,12.4607144021194,2.13530813737318,7.44040450611553,0.135613807706032,2.25565749652776,5.89918471035327,0,0,0,0,9.77165951078929,0,0,,,,0,0,0,100,0,0,100
2014-09-01,2014,"Q3","2014/15","Q1","September",38.0714529889771,9.97192479599658,0.856369752510461,4.71089032123013,2.23257591476998,8.52182252237658,0.0411654038190415,0.0729535966168862,9.11350362091609,0,0,0,0,26.4073410827872,0,0,,,,0,0,0,100,0,0,100
2014-10-01,2014,"Q4","2014/15","Q2","October",24.3205761874045,1.25795039554814,-0.589774714305213,6.28514596513441,9.96545485795147,42.2929684050841,0.155365742030258,0.0732081243842327,10.5854904589711,0,0,0,0,5.65361457779698,0,0,,,,0,0,0,100,0,0,100
2014-11-01,2014,"Q4","2014/15","Q2","November",20.0274201419674,25.2421925151974,0,6.11968829112721,6.03175277527717,0.492421008378474,0,0.349601754843442,7.35869686381253,0,0,0,0,34.3782266493963,0,0,,,,0,0,0,100,0,0,100
2014-12-01,2014,"Q4","2014/15","Q2","December",6.3111338860981,35.0140686611644,1.90863564624234,2.72529510615811,5.78181750741415,23.6337270235145,0.0781278197492752,5.1787143017233,11.1732356836943,0,0.446827894242276,0,0,7.7484164699992,0,0,,,,0,0,0,100,0,0,100
2015-01-01,2015,"Q1","2014/15","Q3","January",23.9159767182608,7.37544014129669,7.42234229406521,20.5169377310867,0.364267221452863,0.228122038225073,12.1165264031156,0.783369160040734,24.3939609294718,0,0,0,0,2.88305736298443,0,0,,,,0,0,0,100,0,0,100
2015-02-01,2015,"Q1","2014/15","Q3","February",0,16.99128152994,0.670387412026694,2.86679029014274,20.9078667790885,2.04578662788318,0,3.37600875768394,23.3610863452875,0,0,0,0,29.7807922579474,0,0,,,,0,0,0,100,0,0,100
2015-03-01,2015,"Q1","2014/15","Q3","March",8.38010563861396,42.2713085215157,2.20473911854092,4.8366131405419,4.0896039026133,7.83184310469895,0,6.72680216738095,15.0559952306559,1.55169118945769,0.170852148449447,0,0,6.88044583753128,0,0,,,,0,0,0,100,0,0,100
2015-04-01,2015,"Q2","2014/15","Q4","April",9.87406029528672,5.93827381065251,0,-0.258742098511067,34.3599012752872,8.15616791003763,0,2.16378411245221,2.80314315831299,0,33.5265002970206,0,0,3.43691123946115,0,0,,,,0,0,0,100,0,0,100
2015-05-01,2015,"Q2","2014/15","Q4","May",33.3194433732805,11.2955548510881,0,2.5568716987357,13.1705552555326,28.162143325636,0,0.493258376600807,4.08571383006027,0,-0.27981526315546,0,0,7.19627455222147,0,0,,,,0,0,0,100,0,0,100
2015-06-01,2015,"Q2","2014/15","Q4","June",2.59150715147093,33.9327484090692,0,10.4213869120708,0.875288737679317,13.9402546714323,0,5.02529643351997,3.05628089391803,0,0.217318172440716,0,0,29.9399186183987,0,0,,,,0,0,0,100,0,0,100
2015-07-01,2015,"Q3","2015/16","Q1","July",0.676965038865097,13.9431579543471,0,9.61474247647582,29.948877371424,33.3126118706749,0,0.700345490833786,7.3995888193396,0.650146720970501,0,0,0,3.75356425706927,0,0,,,,0,0,0,100,0,0,100
2015-08-01,2015,"Q3","2015/16","Q1","August",25.8092732193107,27.4519102953303,0,0.746988722218521,5.23248444240485,16.4386976626587,0,1.0379961930278,22.9143884608225,0,0,0,0,0.368261004226616,0,0,,,,0,0,0,100,0,0,100
2015-09-01,2015,"Q3","2015/16","Q1","September",4.58594054892073,3.93197543009425,8.12822015170867,12.0967692310236,18.265754103814,4.39802333995001,0.059632823887698,2.86395603120277,2.68317906442667,0,33.9383603782009,0,6.84548506318214,2.20270383358854,0,0,,,,0,0,0,100,0,0,100
2015-10-01,2015,"Q4","2015/16","Q2","October",8.85861108184712,29.0275833577631,0,2.95121194101756,6.91496211891036,16.3047618438773,0,6.26858725860773,8.37051826570843,0,0,0,0,21.3037641322685,0,0,,,,0,0,0,100,0,0,100
2015-11-01,2015,"Q4","2015/16","Q2","November",0,11.0954286668786,-1.12240322159296,6.90949157148598,6.58451692015429,33.2442416968326,0,23.9618997825099,13.8738573957745,0,0,0,0,5.45296718795712,0,0,,,,0,0,0,100,0,0,100
2015-12-01,2015,"Q4","2015/16","Q2","December",41.9654643192873,1.63262312770716,0,2.5677207338554,21.4150259749761,8.47454708882601,0,0.225949055454349,19.2926235941545,0,0,0,0,4.42604610573915,0,0,,,,0,0,0,100,0,0,100
2016-01-01,2016,"Q1","2015/16","Q3","January",0,9.45461451967284,0,13.5800304601346,18.9157149179254,0,0,0.181693550406697,28.615183853155,0,0,0,0,29.2527626987055,0,0,,,,0,0,0,100,0,0,100
2016-02-01,2016,"Q1","2015/16","Q3","February",0,5.75582476940699,10.5723751888963,5.35120608648257,22.0365303397049,43.3252217442033,0,2.14605833372386,2.75380035396757,0.822723929568578,0,0,0,7.23625925404591,0,0,,,,0,0,0,100,0,0,100
2016-03-01,2016,"Q1","2015/16","Q3","March",17.8840462506384,31.4142767671691,5.8279723885732,2.744328261841,16.9468156959444,0.828379287790839,0,9.11889702681831,6.49579104096777,2.26891912616094,0,0,0,6.47057415409602,0,0,,,,0,0,0,100,0,0,100
2016-04-01,2016,"Q2","2015/16","Q4","April",0.352340674924421,6.65933426424882,0,16.1259892538674,2.76578399570537,6.82919117926604,0,7.8711577190663,1.50596567022329,0,17.1690390304643,0,0,40.7211982122341,0,0,,,,0,0,0,100,0,0,100
2016-05-01,2016,"Q2","2015/16","Q4","May",2.03363792596692,2.34317813483354,2.55980477275992,16.6043911220884,0.377442971694448,26.7707608371079,0,8.43841616047568,11.214404567805,0,0,0,0,29.6579635072682,0,0,,,,0,0,0,100,0,0,100
2016-06-01,2016,"Q2","2015/16","Q4","June",37.6880736927892,5.39301834261389,0,3.84255208537488,5.08520538929843,4.57796567485279,0,4.7442248167954,15.0901102039482,0,0,0,0,23.5788497943272,0,0,,,,0,0,0,100,0,0,100
2016-07-01,2016,"Q3","2016/17","Q1","July",6.82060540255411,7.47248800657715,0,4.77837621649947,5.97900526666418,60.793144605435,0,1.28245990044579,12.1268549385263,0,0,0,0,0.747065663298,0,0,,,,0,0,0,100,0,0,100
2016-08-01,2016,"Q3","2016/17","Q1","August",6.27149866244051,7.92704016925818,5.44406051992189,9.67482360792247,27.0117298761946,4.51262457536327,0,7.41236453604743,3.92676250615983,0,0,0,1.14196530838722,26.6771302383046,0,0,,,,0,0,0,100,0,0,100
2016-09-01,2016,"Q3","2016/17","Q1","September",1.27733573673378,10.2492986508378,0,2.01258000479963,28.5004945015839,22.3660853241616,0,3.46662006477939,24.3486746307601,1.75560532422536,0,0,0,6.02330576211834,0,0,,,,0,0,0,100,0,0,100
2016-10-01,2016,"Q4","2016/17","Q2","October",12.6341832753022,1.30594320229563,19.1950356202811,3.74197635951871,2.89667390777095,3.93081153550006,0,2.52705671103202,2.70754330827904,0,47.7358474433843,0,1.86616036194721,1.45876827468875,0,0,,,,0,0,0,100,0,0,100
2016-11-01,2016,"Q4","2016/17","Q2","November",56.7676239964487,1.38028122544275,0,7.73718837075976,3.66140367183435,12.9081562542976,0,3.73273858695604,12.0249598309619,0,0,0,0,1.78764806329898,0,0,,,,0,0,0,100,0,0,100
2016-12-01,2016,"Q4","2016/17","Q2","December",3.44353237731515,4.44573509077128,2.49107115590275,21.0634497565507,11.2317857057324,5.47344970432142,2.96094317866225,20.2210168445327,16.7063001637948,0,0,0,0,11.9627160224166,0,0,,,,0,0,0,100,0,0,100
2017-01-01,2017,"Q1","2016/17","Q3","January",0,22.0451187017881,2.17167244578644,12.0096346654383,8.71890237897151,12.9124358688197,0,3.89618852909372,17.2684307163749,0,0,0,0,20.9776166937273,0,0,,,,0,0,0,100,0,0,100
2017-02-01,2017,"Q1","2016/17","Q3","February",8.51286634928871,2.41400417336783,37.956659132239,1.88420423798131,0,2.48572543023056,0,23.1613582476963,3.51552624434579,0,0,0,0,20.0696561848505,0,0,,,,0,0,0,100,0,0,100
2017-03-01,2017,"Q1","2016/17","Q3","March",12.389738888471,4.65608855970938,0,6.18882814965693,23.4552746951868,3.42713197143925,0,21.6628191686206,7.74964303723439,0,0,0,0,20.4704755296817,0,0,,,,0,0,0,100,0,0,100
