"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2014-05-01,2014,"Q2","2013/14","Q4","May",85.187365693,4.270178362,5.069985431,13.587099706,22.89560756,0.922475706,45.107108141,16.0361800849167,0.518545451,1.60148413,0.371572227,1.311655825,0.583239525,23.7239866,20.287954359,17.596014982,,,,,,89.8666151037293,83.7743062244287,6.09230887930052,259.070453782917,0,89.8666151037293,348.937068886646
2014-06-01,2014,"Q2","2013/14","Q4","June",86.6131505,11.628694286,5.843789531,7.890025905,10.816328115,5.03817979,102.228866412,22.7436445169167,0.308304817,1.464335758,0.346921273,1.166985532,0.316645294,74.701863471,23.143766683,21.785499362,,,,,,86.4957214293503,78.2093575021278,8.28636392722253,376.037001245917,0,86.4957214293503,462.532722675267
2014-07-01,2014,"Q3","2014/15","Q1","July",7.850181085,99.296401314,6.605966677,97.035444507,33.286881944,2.215821751,23.248774775,21.525741045875,0.244230295,1.191226826,1.331913988,3.803967649,0.692500542,46.897936669,40.070981289,12.997906621,,,,,,93.3443372779464,85.4370301195926,7.90730715835381,292.299555851875,105.996321126,93.3443372779464,491.640214255821
2014-08-01,2014,"Q3","2014/15","Q1","August",49.291262612,2.988557291,5.469501849,6.266920132,19.085277166,0.710453649,30.759572476,14.790465576875,0.410619254,2.591520938,1.311426232,1.311603785,0.670181473,19.674805665,33.007359869,14.998559227,,,,,,86.4399422432675,79.6761422700973,6.7637999731702,203.338087194875,0,86.4399422432675,289.778029438143
2014-09-01,2014,"Q3","2014/15","Q1","September",18.120677905,5.576606415,22.907325096,1.651026793,27.511148686,0.493106066,12.719344597,15.624953344875,0.202640211,1.152839044,0.543791914,0.85517158,0.18122446,27.000375352,13.514888527,17.81933382,,,,,,99.1624152565966,85.2489062263025,13.9135090302941,145.082908810875,20.791545,99.1624152565966,265.036869067472
2014-10-01,2014,"Q4","2014/15","Q2","October",19.492742028,110.88700129,5.192489071,104.615764175,25.437857156,2.098093667,19.155797036,26.002639786875,0.180648139,1.960826567,1.525983556,4.016837928,0.604049845,56.844607629,54.290376892,20.997042387,,,,,,111.594203492382,90.2078917653961,21.3863117269856,348.124863152875,105.177894,111.594203492382,564.896960645257
2014-11-01,2014,"Q4","2014/15","Q2","November",49.968432729,5.069443465,7.12860267,11.284301612,53.268972301,0.745429638,31.257212927,18.254242247875,0.456399347,2.457157297,1.357026826,1.306099737,0.537670049,34.146069548,26.456879194,20.291429699,,,,,,93.7345503874691,83.441656930567,10.2928934569021,263.985369286875,0,93.7345503874691,357.719919674344
2014-12-01,2014,"Q4","2014/15","Q2","December",45.669665174,3.543862425,3.552402889,2.128152948,4.3890044,0.952388521,23.671858096,20.033996811875,0.223610254,1.815895758,0.525993138,0.979316204,1.509886186,39.8470328,28.797420737,12.980552276,,,,,,93.5181968202996,84.3519696887691,9.16622713153047,190.621038617875,0,93.5181968202996,284.139235438175
2015-01-01,2015,"Q1","2014/15","Q3","January",58.436297156,86.16508888,6.825499387,98.72148295,67.652462754,2.259459769,24.662389485,25.610233597875,0.286552425,1.014653254,0.545802372,3.601232971,0.316867943,51.438939549,60.53385389,19.31391855,,,,,,103.383992295545,93.7367250762551,9.64726721929005,402.801417932875,104.583317,103.383992295545,610.76872722842
2015-02-01,2015,"Q1","2014/15","Q3","February",12.165170528,5.46236292,6.562177461,16.312749745,43.074307391824,0.636878625,39.667306696,15.199984003875,0.394382515,2.704835453,1.5703843,1.242700057,1.424872121,7.268215669,21.762550561,18.224285756,,,,,,96.1842307463401,88.740814097523,7.44341664881715,193.673163802699,0,96.1842307463401,289.857394549039
