"Date","Year","Quarter","FY","QFY","Month","EX_EUU","EX_AUT","EX_BEL","EX_DNK","EX_FRA","EX_DEU","EX_ITA","EX_NLD","EX_POL","EX_PRT","EX_ESP","EX_SWE","EX_GBR","EX_EUU_OTH","EX_ROE","EX_BGR","EX_NOR","EX_CHE","EX_TUR","EX_ROE_OTH","EX_AMC","EX_USA","EX_CAN","EX_MEX","EX_BRA","EX_ARG","EX_LAC_OTH","EX_MIE","EX_BHR","EX_ISR","EX_SAU","EX_ARE","EX_JOR","EX_MIE_OTH","EX_ASI","EX_IND","EX_JPN","EX_MYS","EX_CHN","EX_THA","EX_SGP","EX_PAK","EX_KOR","EX_IDN","EX_VNM","EX_TWN","EX_HKG","EX_ASI_OTH","EX_COM","EX_ETH","EX_KEN","EX_MWI","EX_NAM","EX_MUS","EX_ZMB","EX_SWZ","EX_BDI","EX_RWA","EX_MDG","EX_SDN","EX_EGY","EX_COD","EX_SSD","EX_COM_OTH","EX_ROA","EX_TZA","EX_ZAF","EX_NGA","EX_ROA_OTH","EX_UCL","EX_AUS","EX_ISL","EX_UCL_OTH","EX_F_TOT","EX_IF_BDI","EX_IF_COD","EX_IF_KEN","EX_IF_RWA","EX_IF_SSD","EX_IF_TZA","EX_IF_TOT","EX"
1999-09-01,1999,"Q3","1999/00","Q1","September",15.627,0.031,2.872,0.233,0.562,1.326,0.896,2.093,0,0.247,3.02815905292479,0.004,4.33368203342618,0.00115891364902332,1.667,,0.170365,0.574205,,0.92243,0.244,0.13673,0.10692,,0,,0.000350000000000017,0.213,,0.141365,0.001,0.041,0.02673,0.00290499999999999,0.429649,0.009203,0.217365,,,,0.181876,,,,,,0.021205,,5.567419,0.019987,3.722926,,,,,,,0.616784,,0.627,0.171,0.408541,,0.00118099999999988,2.828581,0.775581,2.025058,,0.0279419999999999,4.13862,0.36,,3.77862,30.715269,,,,,,,,30.715269
1999-10-01,1999,"Q4","1999/00","Q2","October",14.1738275487465,0.031,2.122,0.231,0.574,1.331,0.935,2.513,0,0.25,3.08342623955432,0.004,3.0994013091922,,1.275,,0.092503,0.250551,,0.931946,0.21703,0.109006,0.108024,,0,,,0.338,,0.297503,,,0.027006,0.013491,0.801503,0.006,0.329503,,0.008,,0.325,0.007,,,,,0.126,,4.78,0.06,3.0145,,,,,,0.1,0.6305,,0.608,0.149,0.218,,,1.496,0.175,1.317,,0.004,3.07862,0.513,0.096,2.46962,26.1599805487465,,,,,,,,26.1599805487465
1999-11-01,1999,"Q4","1999/00","Q2","November",24.044,0.05,3.751,0.621,1.598,2.742,2.485,3.959,,0.71,4.398,,3.73,,2.439,,0.038,0.656,,1.745,0.452,0.137,0.307,,0.008,,,0.432,,0.355,,,0.077,,0.592,0.044,0.275,,,,0.188,,,,,,0.085,,5.438,0.028,3.25,,,,,,0.011,0.498,,0.725,0.422,0.504,,,0.219,0.196,0.023,,,3.62562,0.876,0.095,2.65462,37.24162,,,,,,,,37.24162
1999-12-01,1999,"Q4","1999/00","Q2","December",23.008,0.054,3.681,0.38,1.319,3.04,1.519,3.526,,0.674,5.318,,3.497,,3.29,,0.255,0.522,,2.513,0.521,0.227,0.252,,,,0.042,0.299,,0.166,,0.081,0.052,,0.905,0.024,0.252,0.026,0.003,,0.181,0.078,,,,,0.341,,6.124,,2.708,0.008,,,,,0.091,1.34,,1.156,0.439,0.382,,,0.503,0.152,0.351,,,5.67462,0.739,0.026,4.90962,40.32462,,,,,,,,40.32462
2000-01-01,2000,"Q1","1999/00","Q3","January",20.628,0.048,3.22,0.337,0.864,2.005,1.341,3.93,,0.382,4.682,,3.819,,2.828,,0.021,1.35,,1.457,0.56,0.316,0.165,,,,0.079,0.58,,0.194,0.308,0.037,0.041,,1.789,0.003,0.457,0.109,,,0.489,0.122,,0.012,,0.023,0.574,,6.964,0.012,4.851,,,,,,0.245,0.389,,0.987,0.237,0.243,,,0.984,0.332,0.033,,0.619,7.96662,0.485,,7.48162,42.29962,,,,,,,,42.29962
2000-02-01,2000,"Q1","1999/00","Q3","February",15.747,0.034,2.485,0.269,0.921,1.408,0.965,2.545,,0.275,3.365,,3.48,,2.52,,0.015,1.48,,1.025,0.449,0.278,0.119,,,,0.052,0.293,,0.092,0.01,0.161,0.03,,2.541,0.009,1.182,0.216,0.011,,0.445,0.105,0.036,0.089,,0.174,0.274,,5.84,,3.881,,,,,,0.105,0.432,,0.931,0.276,0.215,,,0.445,0.277,0.158,,0.01,11.21562,0.509,,10.70662,39.05062,,,,,,,,39.05062
2000-03-01,2000,"Q1","1999/00","Q3","March",15.897,0.407,1.944,0.566,0.42,0.974,0.679,2.348,,0.187,2.286,,6.086,,2.904,,0.01,2.198,,0.696,0.532,0.412,0.082,,0.029,,0.009,0.067,,0.047,,,0.02,,1.746,0.052,0.223,0.054,0.044,,0.575,0.152,,0.012,,0.024,0.61,,5.724,,3.588,,,,0.011,,0.256,0.368,,0.901,0.134,0.466,,,0.78,0.521,0.021,,0.238,14.00962,0.131,,13.87862,41.65962,,,,,,,,41.65962
2000-04-01,2000,"Q2","1999/00","Q4","April",9.488,0.377,0.822,0.093,0.26,1.756,0.377,1.393,,0.097,1.21,,3.103,,2.788,,0.223,1.648,,0.917,0.549,0.444,0.042,,,,0.063,0.326,,0.144,,0.171,0.011,,6.049,3.336,0.936,0.203,,,0.59,0.074,,0.073,,0.146,0.691,,5.476,,2.947,,,,,,0.219,0.951,,0.474,0.16,0.725,,,1.545,0.336,1.191,,0.018,7.25062,0.522,,6.72862,33.47162,,,,,,,,33.47162
2000-05-01,2000,"Q2","1999/00","Q4","May",9.343,0.049,1.213,0.124,0.784,0.732,0.618,1.877,0.013,0.141,1.732,,2.06,,1.674,,0.047,1.099,,0.528,0.39,0.279,0.061,,,,0.05,0.186,,0.008,,0.163,0.015,,2.558,0.044,0.626,0.187,0.047,,0.423,0.123,0.032,0.072,,0.293,0.711,,8.617,0.045,6.394,,,,,,0.316,0.856,,0.35,0.084,0.517,,0.0550000000000015,0.831,0.572,0.218,,0.041,7.52062,0.746,,6.77462,31.11962,,,,,,,,31.11962
2000-06-01,2000,"Q2","1999/00","Q4","June",13.144,0.029,1.925,0.265,1.128,1.289,0.916,2.505,0.013,0.228,2.797,,2.049,,2.343,,0.107,0.746,,1.49,0.456,0.265,0.099,,,,0.092,0.428,,0.166,,0.237,0.025,,2.403,0.019,0.761,0.135,,,0.294,0.185,,0.047,,0.096,0.866,,9.631,,6.556,,0.015,,,,0.093,1.134,,0.691,0.248,0.829,,0.0649999999999995,1.978,1.872,0.091,,0.015,7.19262,0.579,,6.61362,37.57562,,,,,,,,37.57562
2000-07-01,2000,"Q3","2000/01","Q1","July",14.836,0.031,2.098,0.243,0.86,1.412,0.998,2.772,,0.249,3.048,,3.125,,2.321,,0.076,0.317,,1.928,0.399,0.291,0.108,,,,,0.408,,0.209,,0.172,0.027,,2.218,0.01,0.607,0.044,0.088,,0.019,0.083,,,,,1.367,,7.478,,5.147,,,,,,0.122,0.75,,0.513,0.164,0.782,,,0.514,0.463,0.035,0.009,0.00699999999999999,6.7166,0.575,,6.1416,34.8906,,,,,,,,34.8906
