"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
2002-03-01,2002,"Q1","2001/02","Q3","March",1765.02,,1776.48,,1770.75,1771.03263157895,,208.903472366344,67.075897941045,51.8293742247359,79.1685157894914,71.9310746070936,,,1771.03263157895,1778.06
2002-04-01,2002,"Q2","2001/02","Q4","April",1785.74,,1799.37,,1792.555,1792.18976190476,,212.723562619661,68.3024739335578,52.7771463468013,80.464051786938,73.1081750688011,,,1792.18976190476,1798.39
2002-05-01,2002,"Q2","2001/02","Q4","May",1790.15,,1804,,1797.075,1797.59159090909,,217.167683196912,69.7294170805565,53.879741655003,82.6390248892665,75.084316100774,,,1797.59159090909,1798.04
2002-06-01,2002,"Q2","2001/02","Q4","June",1784.98,,1801.62,,1793.3,1797.173,,219.598852249037,70.5100304680246,54.4829196164741,83.9695918941953,76.2932450992127,,,1797.173,1797.15
2002-07-01,2002,"Q3","2002/03","Q1","July",1797.87,,1808.75,,1803.31,1802.83217391304,,223.53742099943,71.7746482005238,55.4600864934133,85.9194229550124,78.064826164087,,,1802.83217391304,1806.91
2002-08-01,2002,"Q3","2002/03","Q1","August",1801.39,,1810.77,,1806.08,1805.827,,222.747683029926,71.521074706304,55.26415090509,85.0807177109101,77.3027938222493,,,1805.827,1806.27
2002-09-01,2002,"Q3","2002/03","Q1","September",1808.09,,1816.06,,1812.075,1812.644,,222.645869086985,71.4883837147742,55.2388906598188,84.1892280977248,76.4928025619863,,,1812.644,1818.745
2002-10-01,2002,"Q4","2002/03","Q2","October",1822.8,,1832.01,,1827.405,1827.1975,,224.045764602082,71.9378700140449,55.5862075698998,82.7275610474898,75.1647584450453,,,1827.1975,1833.73
2002-11-01,2002,"Q4","2002/03","Q2","November",1826.59,,1837.81,,1832.2,1832.319,,225.96054927849,72.5526798115027,56.0612695228159,82.7179202567198,75.1559989977671,,,1832.319,1842.775
2002-12-01,2002,"Q4","2002/03","Q2","December",1839.19,,1851.93,,1845.56,1845.007,,231.295327362318,74.2656002634015,57.3848387607067,84.7784193746275,77.0281310479898,,,1845.007,1852.57
2003-01-01,2003,"Q1","2002/03","Q3","January",1860.95,,1873.01,,1866.98,1867.686,,239.281436840126,76.829825061638,59.3662086825966,87.982379405132,79.9391909016969,,,1867.686,1873.63
2003-02-01,2003,"Q1","2002/03","Q3","February",1876.44,,1889.53,,1882.985,1883.783,,243.600463058732,78.2166022107315,60.4377678272816,89.2687417368647,81.1079563374625,,,1883.783,1911.55
2003-03-01,2003,"Q1","2002/03","Q3","March",1927.15,,1958.88,,1943.015,1944.445,,252.181691076785,80.9719110058786,62.5667878632698,92.4389783636858,83.988375719485,,,1944.445,1971.465
2003-04-01,2003,"Q2","2002/03","Q4","April",1965.13,,1983.97,,1974.55,1976.53075,,257.945090735007,82.8224556755736,63.9966989811129,92.5865371193634,84.1224449231038,,,1976.53075,1986.54
2003-05-01,2003,"Q2","2002/03","Q4","May",1988.76,,2005.18,,1996.97,1997.85,,269.671460420568,86.587624187796,66.906035029222,98.1256680888043,89.1551986516284,,,1997.85,1988.71
2003-06-01,2003,"Q2","2002/03","Q4","June",1991.32,,2006.67,,1998.995,1998.231,,267.642108142774,85.9360283826624,66.4025486225664,97.918045430385,88.9665564776031,,,1998.231,2002.81
2003-07-01,2003,"Q3","2003/04","Q1","July",1991.79,,2002.01,,1996.9,1995.277,,265.363206371353,85.2043058272354,65.8371484815613,95.9643630366269,87.1914761616143,,,1995.277,1995.455
2003-08-01,2003,"Q3","2003/04","Q1","August",1992.16,,2002.17,,1997.165,1998.491,,263.485549482892,84.6014172280555,65.3712980079652,94.6598114270104,86.0061842785424,,,1998.491,2000.55
2003-09-01,2003,"Q3","2003/04","Q1","September",1989.63,,1997.42,,1993.525,1993.546,,262.527387940063,84.2937653487937,65.1335761902831,93.8578461558001,85.2775332083479,,,1993.546,1984.675
2003-10-01,2003,"Q4","2003/04","Q2","October",1983.12,,1996.34,,1989.73,1990.729,,267.726469223765,85.9631155114434,66.4234787774708,95.5645089742542,86.8281760276448,,,1990.729,1984.82
2003-11-01,2003,"Q4","2003/04","Q2","November",1967.16,,1978.21,,1972.685,1974.488,,267.313250044347,85.8304367809656,66.3209582628794,95.5551992178438,86.8197173521695,,,1974.488,1958.77
2003-12-01,2003,"Q4","2003/04","Q2","December",1935.46,,1953.65,,1944.555,1943.161,,268.172700516924,86.1063939564541,66.5341896642833,95.9072484814876,87.1395829148367,,,1943.161,1935.32
2004-01-01,2004,"Q1","2003/04","Q3","January",1928.89,,1945.93,,1937.41,1938.1585,,267.989029751501,86.0474199175036,66.4886205757115,98.1181652776361,89.1483817337599,,,1938.1585,1909.32
2004-02-01,2004,"Q1","2003/04","Q3","February",1847.59,,1888.11,,1867.85,1865.064,,259.034030122949,83.1720984384353,64.2668670468055,95.6298308545712,86.8875263009157,,,1865.064,1906.895
2004-03-01,2004,"Q1","2003/04","Q3","March",1913.83,,1936.46,,1925.145,1926.65068181818,,264.702606036428,84.9921965686226,65.6732522016958,98.4244184838909,89.4266378309987,,,1926.65068181818,1925.71
2004-04-01,2004,"Q2","2003/04","Q4","April",1909.45,,1926.97,,1918.21,1918.78225,,262.37135036914,84.2436639308342,65.0948629531842,96.5597557440323,87.7324391546654,,,1918.78225,1911.26
2004-05-01,2004,"Q2","2003/04","Q4","May",1844.25,,1864.09,,1854.17,1855.53473809524,,250.289526839422,80.3643643057907,62.0973380870545,91.9541635221948,83.5478817657189,,,1855.53473809524,1833.1
2004-06-01,2004,"Q2","2003/04","Q4","June",1806.65,,1827.22,,1816.935,1818.6645,,248.123062802534,79.6687438884507,61.5598339755126,92.6844405097453,84.2113981642707,,,1818.6645,1788.755
2004-07-01,2004,"Q3","2004/05","Q1","July",1740.55,,1763.63,,1752.09,1748.26186363636,,239.42480289425,76.8758578379518,59.4017780907359,88.1859700110289,80.1241696260805,,,1748.26186363636,1770.72
2004-08-01,2004,"Q3","2004/05","Q1","August",1720.94,,1739.91,,1730.425,1731.52318181818,,234.505348643123,75.2962918904046,58.1812515361748,85.1164049332255,77.3352185838517,,,1731.52318181818,1717.215
2004-09-01,2004,"Q3","2004/05","Q1","September",1716.79,,1734.63,,1725.71,1721.1659,,232.24464199773,74.5704115280375,57.6203656427563,84.2789550948938,76.5743268808809,,,1721.1659,1753.15
2004-10-01,2004,"Q4","2004/05","Q2","October",1728.25,,1743.05,,1735.65,1735.43666666667,,236.781256832325,76.027053249672,58.7459089633737,85.3056045601015,77.507121926244,,,1735.43666666667,1726.985
2004-11-01,2004,"Q4","2004/05","Q2","November",1727.55,,1742.26,,1734.905,1730.88522727273,,240.709916536157,77.2884893299552,59.7206173858095,85.2537200240417,77.4599805797497,,,1730.88522727273,1746.57
2004-12-01,2004,"Q4","2004/05","Q2","December",1732.31,,1748.73,,1740.52,1739.13921052632,,247.210896179693,79.3758603159288,61.3335235905534,86.8079860030716,78.872158400465,,,1739.13921052632,1738.59
2005-01-01,2005,"Q1","2004/05","Q3","January",1725.31,1726.12105263158,1733.55,1737.89052631579,1729.43,1732.00578947368,1732.00578947368,245.886630211647,78.9506575755755,61.0049705241372,90.7519133214859,82.4555390835151,157.431725,153.17755206,1732.00578947368,1713.8
2005-02-01,2005,"Q1","2004/05","Q3","February",1707.07,1704.9845,1713.58,1717.1485,1710.325,1711.0665,1711.0665,242.347929738204,77.8144317909495,60.1270117758706,89.6457419206731,81.4504918527236,186.88133844,186.73583539,1711.0665,1700.61
2005-03-01,2005,"Q1","2004/05","Q3","March",1709.28,1705.2665,1718.59,1717.2015,1713.935,1711.23,1711.234,244.8087463044,78.6045645684283,60.7375453455766,89.9552104105452,81.7316692982213,169.8500577,180.4316527,1711.23,1742.46
2005-04-01,2005,"Q2","2004/05","Q4","April",1774.62,1770.74904761905,1780.95,1784.62476190476,1777.785,1777.68,1777.6869047619,251.455044267345,80.7385951749971,62.3865053194276,90.2949750873793,82.0403733085781,162.27399604,200.08417766,1777.68,1776.82
2005-05-01,2005,"Q2","2004/05","Q4","May",1770.07,1769.22,1777.11,1782.02636363636,1773.59,1775.623,1775.62318181818,249.583386224789,80.1376327188877,61.9221431716396,89.7225401266859,81.5202693069465,158.814012,178.00027685,1775.623,1762.76
2005-06-01,2005,"Q2","2004/05","Q4","June",1733.95,1732.663,1740.91,1743.9745,1737.43,1738.31875,1738.31875,240.678332365627,77.2783481074325,59.7127812891882,88.2698547503768,80.2003857756982,178.92168213,189.81614306,1738.31875,1740.25
2005-07-01,2005,"Q3","2005/06","Q1","July",1746.11,1747.6385,1756.21,1756.606,1751.16,1752.12225,1752.12225,241.662110550772,77.5942251218062,59.9568586476659,87.7120325799396,79.6935586897149,160.05019695,169.55140909,1752.12225,1774.435
2005-08-01,2005,"Q3","2005/06","Q1","August",1812.5,1809.38636363636,1816.17,1820.33318181818,1814.335,1814.85977272727,1814.85977272727,253.203209048601,81.2999057225115,62.8202285391895,92.3345253214529,83.8934715836823,176.2259479,202.34833163,1814.85977272727,1820.2
