"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
2006-07-01,2006,"Q3","2006/07","Q1","July",1851.55,1852.85142857143,1852.6,1862.58142857143,1852.075,1857.71642857143,1857.71642857143,261.349058162664,83.9154206185966,64.8412301880785,93.472516914825,84.9274300631206,208.28218694,213.45573793,1857.71642857143,1855.885
2006-08-01,2006,"Q3","2006/07","Q1","August",1840.56,1842.6202173913,1845.9,1852.85913043478,1843.23,1847.73967391304,1847.73967391304,261.623638870212,84.0035845313713,64.9093542172542,93.5815646981255,85.0265088971508,270.58068804,285.34773533,1847.73967391304,1853.125
2006-09-01,2006,"Q3","2006/07","Q1","September",1845.81,1851.66619047619,1853.75,1857.68714285714,1849.78,1854.67666666667,1854.67666666667,261.253603179744,83.884771397596,64.8175476136562,93.5473714092001,84.9954414962753,250.73323667,250.880234533,1854.67666666667,1861.085
2006-10-01,2006,"Q4","2006/07","Q2","October",1836.65,1839.058,1841.07,1847.795,1838.86,1843.4265,1843.4265,259.551911514441,83.3383826986623,64.3953544680036,92.5153282387708,84.0577458283751,284.455950023333,288.07118278007,1843.4265,1819.765
2006-11-01,2006,"Q4","2006/07","Q2","November",1810.8,1814.52136363636,1816.32,1823.18136363636,1813.56,1818.85136363636,1818.85136363636,259.944249443787,83.4643567603145,64.4926943021974,91.298036578766,82.9517367496244,293.56261256,277.24333693,1818.85136363636,1808.52
2006-12-01,2006,"Q4","2006/07","Q2","December",1765.38,1770.00421052632,1770.93,1780.66210526316,1768.155,1775.33315789474,1775.33315789474,257.714906201601,82.7485467352603,63.9395897325805,90.2001480680726,81.954215202259,319.64865191,290.45817704,1775.33315789474,1741.44
2007-01-01,2007,"Q1","2006/07","Q3","January",1775.79,1783.73904761905,1787.74,1800.81857142857,1781.765,1792.27880952381,1792.27880952381,258.57185120261,83.0236994398932,64.1521995214185,91.4684202301352,83.1065442386401,344.87082277,342.28510179,1792.27880952381,1759.53
2007-02-01,2007,"Q1","2006/07","Q3","February",1743.6,1745.165,1748.39,1758.2005,1745.995,1751.68275,1751.68275,253.252220332278,81.3156425402132,62.8323883378475,90.316169231691,82.0596299229092,275.92055815,278.52044057,1751.68275,1735.33
2007-03-01,2007,"Q1","2006/07","Q3","March",1716.77,1743.63904761905,1745.45,1757.71380952381,1731.11,1750.67642857143,1750.67642857143,254.21896856752,81.6260514828088,63.0722405312931,90.7007876279118,82.4090872075118,311.48544767,313.72844504,1750.67642857143,1746.56
2007-04-01,2007,"Q2","2006/07","Q4","April",1717.21,1722.84789473684,1724.05,1734.93368421053,1720.63,1728.89078947368,1728.89078947368,254.129866461609,81.5974420791704,63.0501341185124,89.1404464986986,80.9913896157521,277.37141467,310.15382114,1728.89078947368,1726.725
2007-05-01,2007,"Q2","2006/07","Q4","May",1684.17,1686.895,1693.54,1703.41045454545,1688.855,1695.15272727273,1695.15272727273,250.930168103525,80.5700649940609,62.2562824810605,87.9676695712899,79.9258258140102,393.73215383,361.45747331,1695.15272727273,1693.085
2007-06-01,2007,"Q2","2006/07","Q4","June",1633.96,1634.54904761905,1643.68,1652.59761904762,1638.82,1643.57333333333,1643.57333333333,242.726520545275,77.9359918495201,60.2209409212094,86.0647294821183,78.1968490337584,503.21568081,417.08056262,1643.57333333333,1590.13
2007-07-01,2007,"Q3","2007/08","Q1","July",1642.86,1644.47181818182,1659.49,1661.26772727273,1651.175,1652.86977272727,1652.86977272727,245.860601417567,78.9423001044649,60.998512727655,87.6151622452599,79.6055440641839,413.54794154,333.16516401,1652.86977272727,1661.5
2007-08-01,2007,"Q3","2007/08","Q1","August",1719.57,1728.47956521739,1733.57,1746.38130434783,1726.57,1737.43043478261,1737.43043478261,257.767245994444,82.7653522893436,63.9525753410982,92.4033523674568,83.956006586792,432.30122429,443.61797691,1737.43043478261,1785.415
2007-09-01,2007,"Q3","2007/08","Q1","September",1752.39,1755.912,1759.97,1769.7485,1756.18,1762.83025,1762.83025,263.416249390327,84.5791659658648,65.3541045147664,93.620656441184,85.0620269444253,348.64497646,353.87435242,1762.83025,1752.09
2007-10-01,2007,"Q4","2007/08","Q2","October",1738.92,1740.40619047619,1745.4,1753.93714285714,1742.16,1747.17166666667,1747.17166666667,264.175093351222,84.8228198386205,65.5423752370377,92.5729768820375,84.1101243379185,586.27214174,586.80692647,1747.17166666667,1735.45
2007-11-01,2007,"Q4","2007/08","Q2","November",1699.41,1700.465,1707.28,1714.9925,1703.345,1707.72875,1707.72875,262.433318057647,84.2635608636274,65.1102372620987,91.1751845999006,82.8401156743868,492.30180429,499.62373822,1707.72875,1738.685
2007-12-01,2007,"Q4","2007/08","Q2","December",1701.53,1705.35055555556,1709.51,1717.87611111111,1705.52,1711.61333333333,1711.61333333333,263.859616808453,84.7215248618264,65.4641048683881,91.2957104271053,82.9496232505019,450.93884959,412.79058543,1711.61333333333,1697.34
2008-01-01,2008,"Q1","2007/08","Q3","January",1699.76,1704.89318181818,1709.77,1716.27818181818,1704.765,1710.58568181818,1710.58568181818,260.364068286127,83.5991545475582,64.5968522065144,92.3000653944273,83.8621619202749,394.58647095,391.85918358,1710.58568181818,1726.045
2008-02-01,2008,"Q1","2007/08","Q3","February",1699.98,1703.04333333333,1703.7,1712.61619047619,1701.84,1707.82976190476,1707.82976190476,258.262072476587,82.9242339500398,64.0753427926336,91.3903771794039,83.0356357411302,427.59573601,439.77767575,1707.82976190476,1692.18
2008-03-01,2008,"Q1","2007/08","Q3","March",1676.51,1678.81421052632,1683.76,1689.69684210526,1680.135,1684.25552631579,1684.25552631579,259.485890612966,83.3171843375288,64.37897454875,91.7189649116644,83.3341845827815,409.60339333,423.65419924,1684.25552631579,1693.515
2008-04-01,2008,"Q2","2007/08","Q4","April",1678.32,1681.47727272727,1687,1691.88954545455,1682.66,1686.68340909091,1686.68340909091,262.205099108474,84.1902830441182,65.0536156789921,91.6177230087196,83.2421980297754,402.49965882,408.6888182776,1686.68340909091,1681.845
2008-05-01,2008,"Q2","2007/08","Q4","May",1644.5,1642.32380952381,1654.83,1653.03761904762,1649.665,1647.68071428571,1647.68071428571,254.322270680514,81.6592203043215,63.0978699945659,88.0246494947882,79.9775967369256,434.71224229,431.09614093,1647.68071428571,1628.24
2008-06-01,2008,"Q2","2007/08","Q4","June",1596.67,1595.09368421053,1603.31,1606.38578947368,1599.99,1600.73973684211,1600.73973684211,244.920756329324,78.6405293751164,60.7653352594201,85.3484395563144,77.5460410253032,462.674076483,464.55325953,1600.73973684211,1619.48
2008-07-01,2008,"Q3","2008/09","Q1","July",1625.63,1628.45826086957,1633.8,1639.42217391304,1629.715,1633.9402173913,1633.9402173913,249.608187915441,80.1455961847511,61.9282965212783,86.8886084025882,78.945410447403,503.93458438,499.66037833,1633.9402173913,1640.665
2008-08-01,2008,"Q3","2008/09","Q1","August",1616.72,1618.61523809524,1621.89,1628.62285714286,1619.305,1623.61904761905,1623.61904761905,244.775819622722,78.5939922849007,60.7293761692229,84.6583290858214,76.919019194148,460.2782406,458.76753517,1623.61904761905,1644.985
2008-09-01,2008,"Q3","2008/09","Q1","September",1637.45,1640.204,1639.59,1649.8175,1638.52,1645.01075,1645.01075,241.413247054015,77.5143186352332,59.895115110528,83.1490828854943,75.5477455261552,442.558654240336,503.792021065467,1645.01075,1670.045
2008-10-01,2008,"Q4","2008/09","Q2","October",1795.09,1813.99545454545,1810.9,1863.33045454545,1802.995,1838.66295454545,1838.66295454545,258.715913672719,83.0699558253554,64.187941711773,88.2940788363892,80.2223953399912,572.893410289276,663.666053150883,1838.66295454545,1880.99
2008-11-01,2008,"Q4","2008/09","Q2","November",1883.83,1887.119,1903.74,1933.141,1893.785,1910.13,1910.13,264.077463479199,84.7914722920353,65.518153068228,88.6501770327028,80.5459396892953,383.25118785,396.30968668,1910.13,1973.895
2008-12-01,2008,"Q4","2008/09","Q2","December",1940.63,1945.601,1950.49,1966.7765,1945.56,1956.18875,1956.18875,273.889430364726,87.9419536218064,67.9525219077218,91.0722792543203,82.746617747634,436.571024,431.54214944,1956.18875,1949.18
2009-01-01,2009,"Q1","2008/09","Q3","January",1962.09,1968.059,1970,1983.881,1966.045,1975.97,1975.97,274.526960379597,88.1466553327327,68.1106943944975,90.3124139518976,82.0562179439387,420.36234903,409.7514235,1975.97,1977.495
2009-02-01,2009,"Q1","2008/09","Q3","February",1958.22,1957.2785,1963.84,1972.387,1961.03,1964.83,1964.83275,269.803745553413,86.6300990397903,66.938855238369,88.1261820363115,80.069847358862,369.903382007265,380.114043282964,1964.83275,1980.005
2009-03-01,2009,"Q1","2008/09","Q3","March",2048.28,2043.44409090909,2049,2059.64636363636,2048.64,2051.54522727273,2051.54522727273,279.58329335534,89.7701710684699,69.3651808376194,91.3858299275046,83.031504190698,445.96,455.26,2051.54522727273,2118.41
2009-04-01,2009,"Q2","2008/09","Q4","April",2162.18,2163.416,2169.25,2187.8045,2165.715,2175.61025,2175.61025,299.858397121079,96.2802150401175,74.3954751099759,96.6629989094456,87.8262440183786,333.34,341.79,2175.61025,2226.735
2009-05-01,2009,"Q2","2008/09","Q4","May",2240.6,2236.7435,2248.3,2258.6215,2244.45,2247.6825,2247.6825,315.675617355721,101.358896778396,78.3197594574313,100.911332533396,91.6862027382408,382.390362706713,412.153530633121,2247.6825,2234.275
2009-06-01,2009,"Q2","2008/09","Q4","June",2133.07,2124.4175,2143.34,2149.9415,2138.205,2137.18,2137.1795,302.684575703982,97.1876603020016,75.0966557353623,97.0316617317437,88.1612043584979,419.27,425.02,2137.1795,2064.075
2009-07-01,2009,"Q3","2009/10","Q1","July",2094.48,2098.51347826087,2112.55,2123.01913043478,2103.515,2110.76630434783,2110.76630434783,299.522800347972,96.1724597469802,74.3122128714649,96.2472531131266,87.4485049437682,408.77,421.44,2110.76630434783,2104.49
2009-08-01,2009,"Q3","2009/10","Q1","August",2065.97,2061.52761904762,2074.53,2081.81,2070.25,2071.66880952381,2071.66880952381,294.692007212515,94.621361607453,73.1136833191135,93.487836575269,84.9413492281746,404.147929055394,412.823618058045,2071.66880952381,2055.495
2009-09-01,2009,"Q3","2009/10","Q1","September",1962.69,1956.14681818182,1970.01,1967.66045454545,1966.35,1961.90363636364,1961.90363636364,282.42002518663,90.6810048265036,70.0689797452858,87.8718597764293,79.8387747756842,419.752165637532,428.03012319255,1961.90363636364,1923.985
2009-10-01,2009,"Q4","2009/10","Q2","October",1895.15,1893.21761904762,1903.53,1903.34761904762,1899.34,1898.28261904762,1898.28261904762,277.213117620234,89.0091417571355,68.7771354415248,86.5142963699823,78.6053173374691,433.5,430.54,1898.28261904762,1883.795
2009-11-01,2009,"Q4","2009/10","Q2","November",1852.08,1868.917,1869.36,1878.6395,1860.72,1873.77825,1873.77825,274.084668699874,88.0046418408877,68.0009609337503,85.9199355651979,78.0652919123851,389.91,379.66,1873.77825,1870.735
2009-12-01,2009,"Q4","2009/10","Q2","December",1891.55,1891.55909090909,1897.82,1901.715,1894.685,1896.63704545455,1896.63704545455,276.051321316071,88.6361056872053,68.4888914274867,86.8788961921296,78.9365861094939,481.60860862,451.23572254,1896.63704545455,1899.71
2010-01-01,2010,"Q1","2009/10","Q3","January",1928.84,1930.47578947368,1945.67,1940.77631578947,1937.255,1935.62605263158,1935.62605263158,281.180180992633,90.2829087025986,69.7613718918446,89.3501170401361,81.1818924590686,412.98045213291,412.533861495727,1935.62605263158,1949.165
2010-02-01,2010,"Q1","2009/10","Q3","February",1989.75,1991.3445,1988.74,2001.7275,1989.245,1996.536,1996.536,286.89073103652,92.1164841218683,71.1781709134265,90.8294513999747,82.525988772423,470.373408071984,460.819798301143,1996.536,2045.44
2010-03-01,2010,"Q1","2009/10","Q3","March",2078.14,2080.84227272727,2078.95,2091.89045454545,2078.545,2086.36636363636,2086.36636363636,300.601553086649,96.5188317233935,74.5798536088616,95.6940093483564,86.9458377139642,524.538898334296,560.705986498233,2086.36636363636,2084.345
